,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
345,Kami nomi zo Shiru Sekai II,TV (12 eps),Apr 2011 - Jun 2011,"375,869 ","Comedy, Romance, Supernatural",Tuesdays at 01:30 (JST),Sentai Filmworks,979,541,7.881,https://myanimelist.net/anime/10080/Kami_nomi_zo_Shiru_Sekai_II,"232,417"
346,Megalo Box,TV (13 eps),Apr 2018 - Jun 2018,"479,794 ","Sci-Fi, Sports",Fridays at 01:28 (JST),VIZ Media,"3,349",409,7.881,https://myanimelist.net/anime/36563/Megalo_Box,"255,988"
347,Space☆Dandy,TV (13 eps),Jan 2014 - Mar 2014,"333,835 ","Comedy, Sci-Fi",Unknown,Funimation,"5,137",634,7.881,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy,"144,544"
348,Terra e... (TV),TV (24 eps),Apr 2007 - Sep 2007,"59,688 ","Action, Drama, Sci-Fi",Saturdays at 18:00 (JST),Bandai Entertainment,843,2578,7.881,https://myanimelist.net/anime/2158/Terra_e_TV,"18,176"
349,Machikado Mazoku: 2-choume,TV (12 eps),Apr 2022 - Jul 2022,"58,941 ","Comedy, Fantasy",Fridays at 01:28 (JST),Sentai Filmworks,305,2595,7.871,https://myanimelist.net/anime/42745/Machikado_Mazoku__2-choume,"19,001"
350,Golden Kamuy,TV (12 eps),Apr 2018 - Jun 2018,"346,743 ","Action, Adventure",Mondays at 23:00 (JST),Funimation,"3,778",605,7.871,https://myanimelist.net/anime/36028/Golden_Kamuy,"144,995"
351,Beelzebub,TV (60 eps),Jan 2011 - Mar 2012,"569,620 ","Action, Comedy, Supernatural",Sundays at Unknown,Discotek Media,"5,223",341,7.861,https://myanimelist.net/anime/9513/Beelzebub,"269,020"
352,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV (13 eps),Apr 2018 - Jul 2018,"27,249 ","Comedy, Fantasy, Supernatural",Sundays at 01:00 (JST),Sentai Filmworks,51,3887,7.861,https://myanimelist.net/anime/37029/Hoozuki_no_Reitetsu_2nd_Season__Sono_Ni,"11,119"
353,InuYasha,TV (167 eps),Oct 2000 - Sep 2004,"749,490 ","Action, Adventure, Fantasy, Romance",Mondays at 19:00 (JST),VIZ Media,"17,512",230,7.861,https://myanimelist.net/anime/249/InuYasha,"370,628"
354,Magic Kaito 1412,TV (24 eps),Oct 2014 - Mar 2015,"117,693 ","Adventure, Comedy, Romance",Saturdays at 17:30 (JST),"None found, add some","1,050",1663,7.861,https://myanimelist.net/anime/25517/Magic_Kaito_1412,"54,526"
