,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
0,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,088,738 ","Action, Adventure, Drama, Fantasy",Sundays at 17:00 (JST),"Funimation, Aniplex of America","213,309",3,9.111,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,"1,963,910"
1,Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"388,119 ","Action, Adventure, Fantasy",Tuesdays at 00:00 (JST),VIZ Media,"15,729",526,9.101,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,"170,485"
2,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,379,223 ","Drama, Sci-Fi, Suspense",Wednesdays at 02:05 (JST),Funimation,"179,519",13,9.081,https://myanimelist.net/anime/9253/Steins_Gate,"1,304,594"
3,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"577,775 ","Action, Comedy, Sci-Fi",Wednesdays at 18:00 (JST),"Funimation, Crunchyroll","15,534",337,9.071,https://myanimelist.net/anime/28977/Gintama%C2%B0,"231,368"
4,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"755,828 ","Comedy, Romance",Saturdays at 00:00 (JST),Aniplex of America,"27,176",226,9.071,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,"404,798"
5,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,023,134 ","Action, Drama",Mondays at 00:10 (JST),Funimation,"53,991",27,9.061,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,"1,417,541"
6,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"509,574 ","Action, Comedy, Sci-Fi",Mondays at 18:00 (JST),"None found, add some","7,548",384,9.041,https://myanimelist.net/anime/9969/Gintama,"220,569"
7,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,575,958 ","Action, Adventure, Fantasy",Sundays at 10:55 (JST),VIZ Media,"195,375",10,9.041,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,"1,600,843"
8,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"301,084 ","Action, Comedy, Sci-Fi",Thursdays at 18:00 (JST),"None found, add some","2,926",712,9.031,https://myanimelist.net/anime/15417/Gintama__Enchousen,"154,043"
9,Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"406,714 ","Drama, Romance, Supernatural",Tuesdays at 01:30 (JST),Funimation,"18,215",497,9.011,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,"198,206"
10,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"289,183 ","Action, Comedy, Sci-Fi",Mondays at 01:35 (JST),"None found, add some","2,607",745,8.991,https://myanimelist.net/anime/34096/Gintama,"134,591"
11,3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,"374,082 ","Drama, Slice of Life",Saturdays at 23:00 (JST),Aniplex of America,"14,676",549,8.941,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,"186,460"
12,Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"1,128,679 ","Drama, Romance, Supernatural",Fridays at 01:59 (JST),Sentai Filmworks,"68,231",109,8.941,https://myanimelist.net/anime/4181/Clannad__After_Story,"629,932"
13,Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,000,984 ","Action, Comedy, Sci-Fi",Thursdays at 18:00 (JST),"Sentai Filmworks, Crunchyroll","56,811",138,8.941,https://myanimelist.net/anime/918/Gintama,"373,845"
14,Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,660,445 ","Action, Award Winning, Drama, Sci-Fi",Sundays at 17:00 (JST),"Funimation, Bandai Entertainment","73,517",47,8.911,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,"1,121,300"
15,Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,"370,894 ","Comedy, Mystery, Supernatural",Not scheduled once per week,Aniplex of America,"8,327",553,8.891,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,"178,892"
16,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"179,248 ","Action, Comedy, Sci-Fi",Mondays at 01:35 (JST),"None found, add some","1,005",1183,8.881,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,"86,535"
17,Monster,TV (74 eps),Apr 2004 - Sep 2005,"959,745 ","Drama, Mystery, Suspense",Wednesdays at 00:40 (JST),VIZ Media,"44,233",149,8.861,https://myanimelist.net/anime/19/Monster,"343,426"
18,Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,135,588 ","Action, Fantasy",Sundays at 23:15 (JST),"Aniplex of America, Crunchyroll","22,563",108,8.821,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,"691,352"
19,Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"193,561 ","Action, Comedy, Sci-Fi",Mondays at 01:35 (JST),"None found, add some","1,116",1105,8.811,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,"94,718"
20,Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,"1,382,416 ","Action, Comedy, Supernatural",Mondays at 23:00 (JST),Funimation,"31,220",76,8.811,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,"869,094"
21,Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,"1,771,104 ","Action, Drama",Mondays at 00:10 (JST),Funimation,"50,808",41,8.811,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,"1,167,312"
22,Vinland Saga Season 2,TV (24 eps),Jan 2023 -,"311,344 ","Action, Adventure, Drama",Tuesdays at 00:30 (JST),"None found, add some","3,155",688,8.771,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,"34,860"
23,Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"636,594 ","Comedy, Mystery, Romance, Supernatural",Sundays at 00:00 (JST),Aniplex of America,"22,886",290,8.771,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,"340,466"
24,Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,054,632 ","Action, Drama",Mondays at 00:05 (JST),"None found, add some","28,382",128,8.771,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,"568,617"
25,Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"503,532 ","Action, Comedy, Supernatural",Thursdays at 00:00 (JST),"None found, add some","7,704",392,8.751,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,"193,915"
26,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,724,945 ","Action, Award Winning, Sci-Fi",Saturdays at 01:00 (JST),"Funimation, Bandai Entertainment","76,527",43,8.751,https://myanimelist.net/anime/1/Cowboy_Bebop,"888,954"
27,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"249,204 ","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Sundays at 00:30 (JST),Aniplex of America,"1,373",863,8.731,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,"99,128"
28,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,273,763 ","Action, Adventure, Drama",Mondays at 00:10 (JST),Sentai Filmworks,"39,067",90,8.731,https://myanimelist.net/anime/37521/Vinland_Saga,"709,168"
29,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"398,025 ","Action, Drama, Sci-Fi",Sundays at 00:00 (JST),"None found, add some","11,855",515,8.711,https://myanimelist.net/anime/48569/86_Part_2,"212,784"
30,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"45,991 ","Drama, Sports",Unknown,"None found, add some","2,333",2957,8.711,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,"17,865"
31,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"731,815 ","Drama, Fantasy, Ecchi",Mondays at 00:00 (JST),Funimation,"16,327",235,8.711,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,"439,267"
32,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"282,605 ","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Saturdays at 00:00 (JST),Aniplex of America,"1,497",761,8.701,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,"111,703"
33,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"367,395 ","Award Winning, Mystery",Tuesdays at 02:00 (JST),"None found, add some","7,347",561,8.701,https://myanimelist.net/anime/46102/Odd_Taxi,"180,318"
34,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,104,590 ","Action, Award Winning, Drama, Sci-Fi",Fridays at 01:25 (JST),"Funimation, Bandai Entertainment","103,564",20,8.701,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,"1,315,571"
35,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"769,941 ","Comedy, Drama",Wednesdays at 19:30 (JST),"Discotek Media, Tokyopop","24,711",217,8.691,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,"379,654"
36,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"347,907 ","Adventure, Drama, Fantasy, Mystery, Sci-Fi",Wednesdays at 22:30 (JST),Sentai Filmworks,"4,591",603,8.681,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,"131,503"
37,One Piece,TV (? eps),Oct 1999 -,"2,091,743 ","Action, Adventure, Fantasy",Sundays at 09:30 (JST),"Funimation, 4Kids Entertainment","189,863",21,8.681,https://myanimelist.net/anime/21/One_Piece,"1,179,666"
38,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,250,317 ","Adventure, Drama, Fantasy, Mystery, Sci-Fi",Fridays at 21:30 (JST),Sentai Filmworks,"40,685",92,8.671,https://myanimelist.net/anime/34599/Made_in_Abyss,"674,239"
39,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,240,945 ","Action, Award Winning, Comedy",Saturdays at 23:00 (JST),"None found, add some","36,794",94,8.671,https://myanimelist.net/anime/50265/Spy_x_Family,"738,123"
40,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,627,122 ","Drama, Fantasy",Thursdays at 00:00 (JST),Funimation,"56,024",51,8.671,https://myanimelist.net/anime/33352/Violet_Evergarden,"885,864"
41,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"778,253 ","Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Sundays at 03:40 (JST),Funimation,"25,555",208,8.661,https://myanimelist.net/anime/457/Mushishi,"263,724"
42,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,119,896 ","Action, Fantasy",Wednesdays at 00:00 (JST),"None found, add some","37,098",111,8.661,https://myanimelist.net/anime/44511/Chainsaw_Man,"501,847"
43,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,143,943 ","Action, Award Winning, Fantasy",Saturdays at 01:25 (JST),VIZ Media,"78,442",17,8.651,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,"1,387,005"
44,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"231,920 ","Drama, Slice of Life, Supernatural",Tuesdays at 01:30 (JST),"NIS America, Inc.","1,928",925,8.651,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,"102,868"
45,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,058,841 ","Drama, Romance",Fridays at 01:20 (JST),Aniplex of America,"82,114",23,8.651,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,"1,258,121"
46,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,518,841 ","Action, Adventure, Award Winning, Sci-Fi",Sundays at 08:30 (JST),"ADV Films, Bandai Entertainment, Aniplex of America","74,724",64,8.631,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,"852,758"
47,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"173,304 ","Drama, Slice of Life, Supernatural",Wednesdays at 01:35 (JST),"None found, add some","1,021",1232,8.621,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,"62,911"
48,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"364,728 ","Award Winning, Drama, Sports",Fridays at 00:50 (JST),Funimation,"14,808",567,8.621,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,"170,379"
49,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,136,104 ","Action, Drama",Mondays at 00:35 (JST),Funimation,"19,307",18,8.621,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,"1,452,990"
50,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,623,193 ","Supernatural, Suspense",Wednesdays at 00:56 (JST),VIZ Media,"164,240",2,8.621,https://myanimelist.net/anime/1535/Death_Note,"2,557,901"
51,Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"175,587 ","Action, Mystery, Supernatural",Wednesdays at 23:00 (JST),"None found, add some","1,658",1215,8.611,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,"14,115"
52,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"923,752 ","Action, Adventure, Supernatural",Saturdays at 01:05 (JST),VIZ Media,"29,626",154,8.581,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,"613,859"
53,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"238,920 ","Drama, Slice of Life, Supernatural",Tuesdays at 01:30 (JST),"NIS America, Inc.","1,347",903,8.581,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,"111,694"
54,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"172,594 ","Drama, Slice of Life, Supernatural",Wednesdays at 01:35 (JST),"None found, add some",790,1238,8.571,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,"69,635"
55,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"418,581 ","Award Winning, Comedy, Mystery, Romance",Fridays at 00:45 (JST),Funimation,"17,373",483,8.571,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,"135,545"
56,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"533,797 ","Adventure, Fantasy",Fridays at 00:55 (JST),Funimation,"11,405",363,8.561,https://myanimelist.net/anime/40834/Ousama_Ranking,"273,182"
57,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,054,716 ","Action, Fantasy, Supernatural",Sundays at 00:00 (JST),Aniplex of America,"19,897",127,8.561,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,"672,225"
58,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"450,040 ","Drama, Romance, Supernatural",Tuesdays at 01:30 (JST),Funimation,"5,517",443,8.561,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,"225,653"
59,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"587,082 ","Action, Adventure, Drama, Fantasy, Horror",Wednesdays at 01:45 (JST),"Media Blasters, NYAV Post","24,411",328,8.551,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,"312,642"
60,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"235,680 ","Drama, Slice of Life, Supernatural",Tuesdays at 01:00 (JST),"NIS America, Inc.","1,393",912,8.551,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,"119,071"
61,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"316,720 ","Comedy, Drama, Romance",Unknown,"None found, add some","2,919",670,8.541,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,"186,409"
62,Nana,TV (47 eps),Apr 2006 - Mar 2007,"599,238 ","Drama, Romance",Wednesdays at 23:25 (JST),"VIZ Media, Sentai Filmworks","26,177",322,8.531,https://myanimelist.net/anime/877/Nana,"228,238"
63,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,647,540 ","Action, Award Winning, Drama, Suspense",Sundays at 01:58 (JST),Funimation,"159,703",1,8.531,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,"2,593,615"
64,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"467,337 ","Adventure, Comedy, Drama",Tuesdays at 20:30 (JST),"None found, add some","13,280",425,8.531,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,"201,914"
65,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"809,673 ","Drama, Sci-Fi, Suspense",Thursdays at 01:35 (JST),Funimation,"11,151",191,8.531,https://myanimelist.net/anime/30484/Steins_Gate_0,"390,473"
66,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"381,529 ","Mystery, Supernatural, Suspense",Fridays at 00:00 (JST),Disney Platform Distribution,"6,071",533,8.531,https://myanimelist.net/anime/47194/Summertime_Render,"133,318"
67,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,815,291 ","Mystery, Sci-Fi, Suspense",Fridays at 00:55 (JST),Aniplex of America,"31,863",38,8.521,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,"1,188,770"
68,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"186,254 ","Action, Comedy, Sci-Fi",Mondays at 01:35 (JST),"None found, add some",866,1143,8.521,https://myanimelist.net/anime/35843/Gintama__Porori-hen,"94,047"
69,Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,695,044 ","Action, Award Winning, Fantasy",Saturdays at 23:30 (JST),Aniplex of America,"85,743",7,8.521,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,"1,863,576"
70,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"217,790 ","Action, Mystery, Sci-Fi",Unknown,"Bandai Entertainment, Manga Entertainment","3,064",991,8.521,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,"100,520"
71,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,161,337 ","Action, Adventure, Comedy",Saturdays at 10:30 (JST),"Funimation, Geneon Entertainment USA","35,319",104,8.511,https://myanimelist.net/anime/205/Samurai_Champloo,"600,410"
72,Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"1,324,991 ","Action, Comedy",Fridays at 01:25 (JST),Funimation,"17,134",85,8.501,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,"824,533"
73,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,020,751 ","Action, Adventure, Supernatural",Saturdays at 00:30 (JST),VIZ Media,"37,106",131,8.501,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,"702,344"
74,Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,"183,714 ","Comedy, Sci-Fi",Sundays at 07:00 (JST),Sentai Filmworks,"3,771",1154,8.501,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,"50,600"
75,One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,"2,981,093 ","Action, Comedy",Mondays at 01:05 (JST),VIZ Media,"61,140",4,8.501,https://myanimelist.net/anime/30276/One_Punch_Man,"2,078,770"
76,Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"2,491,101 ","Action, Drama, Suspense",Saturdays at 22:00 (JST),Funimation,"20,435",12,8.501,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,"1,708,462"
77,Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,"1,897,808 ","Action, Comedy, Supernatural",Tuesdays at 00:00 (JST),"Funimation, Crunchyroll","43,983",33,8.491,https://myanimelist.net/anime/32182/Mob_Psycho_100,"1,164,517"
78,Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,"121,290 ","Fantasy, Sci-Fi, Slice of Life",Tuesdays at 02:00 (JST),Nozomi Entertainment,"3,998",1617,8.491,https://myanimelist.net/anime/3297/Aria_the_Origination,"30,235"
79,Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,"783,682 ","Action, Adventure, Drama, Suspense",Fridays at 00:55 (JST),"None found, add some","28,293",203,8.491,https://myanimelist.net/anime/36649/Banana_Fish,"337,316"
80,Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"374,434 ","Drama, Suspense",Unknown,Funimation,"8,168",548,8.481,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,"149,525"
81,Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,"128,516 ","Drama, Sports",Wednesdays at 01:29 (JST),Sentai Filmworks,"1,407",1547,8.471,https://myanimelist.net/anime/37379/Chihayafuru_3,"56,188"
82,Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"453,802 ","Comedy, Mystery, Supernatural",Sundays at 00:00 (JST),Aniplex of America,"2,779",439,8.451,https://myanimelist.net/anime/31181/Owarimonogatari,"222,212"
83,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"782,678 ","Drama, Fantasy, Suspense",Wednesdays at 22:30 (JST),"None found, add some","11,603",204,8.451,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,"449,991"
84,Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"639,076 ","Action, Comedy, Supernatural",Unknown,Funimation,"21,212",288,8.451,https://myanimelist.net/anime/392/Yuu%E2%98%86Yuu%E2%98%86Hakusho,"308,766"
85,Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,"146,613 ","Action, Adventure",Mondays at 23:00 (JST),Funimation,"1,375",1405,8.451,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,"70,297"
86,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,015,292 ","Action, Adventure, Drama, Supernatural",Saturdays at 00:30 (JST),VIZ Media,"19,487",134,8.441,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,"721,587"
87,Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"156,893 ","Drama, Romance",Sundays at 01:00 (JST),Funimation,"1,599",1340,8.431,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2,"83,052"
88,Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"379,031 ","Action, Award Winning, Sci-Fi",Unknown,"Bandai Entertainment, Manga Entertainment","8,316",537,8.431,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,"158,441"
89,Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"297,980 ","Fantasy, Horror, Mystery, Supernatural",Fridays at 00:45 (JST),"Discotek Media, Flatiron Film Company","7,488",724,8.431,https://myanimelist.net/anime/2246/Mononoke,"83,910"
90,Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"586,097 ","Comedy, Supernatural",Wednesdays at 01:35 (JST),"None found, add some","3,982",329,8.431,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_%CE%A8-nan_2,"349,768"
91,Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,002,777 ","Comedy, Supernatural",Not scheduled once per week,Funimation,"26,808",136,8.421,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_%CE%A8-nan,"559,438"
92,Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"475,519 ","Action, Sci-Fi, Suspense",Saturdays at 23:30 (JST),Aniplex of America,"9,700",411,8.421,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,"213,463"
93,Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"552,323 ","Action, Adventure, Fantasy",Saturdays at 18:00 (JST),VIZ Media,"10,250",353,8.411,https://myanimelist.net/anime/136/Hunter_x_Hunter,"269,440"
94,Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"421,835 ","Action, Drama, Fantasy, Mystery",Saturdays at 21:30 (JST),Sentai Filmworks,"12,275",478,8.401,https://myanimelist.net/anime/35557/Houseki_no_Kuni,"180,071"
95,Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"278,845 ","Drama, Sports",Wednesdays at 01:29 (JST),Sentai Filmworks,"5,685",775,8.401,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru,"127,525"
96,3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"639,622 ","Drama, Slice of Life",Saturdays at 23:00 (JST),Aniplex of America,"14,899",286,8.391,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,"264,988"
97,Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"223,220 ","Drama, Sports",Unknown,Sentai Filmworks,"1,574",961,8.391,https://myanimelist.net/anime/14397/Chihayafuru_2,"123,336"
98,Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"119,158 ","Drama, Romance, Sports",Unknown,"None found, add some","2,967",1647,8.391,https://myanimelist.net/anime/5941/Cross_Game,"48,840"
99,Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"834,692 ","Action, Adventure, Comedy, Fantasy",Tuesdays at 23:00 (JST),Funimation,"10,146",183,8.391,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,"472,324"
100,Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"565,467 ","Action, Fantasy",Sundays at 23:15 (JST),"None found, add some","3,642",343,8.381,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,"327,103"
101,Baccano!,TV (13 eps),Jul 2007 - Nov 2007,"864,740 ","Action, Comedy, Mystery, Supernatural",Fridays at 00:30 (JST),"Funimation, Aniplex of America","22,743",172,8.371,https://myanimelist.net/anime/2251/Baccano,"366,841"
102,Fumetsu no Anata e,TV (20 eps),Apr 2021 - Aug 2021,"778,932 ","Adventure, Drama, Supernatural",Mondays at 22:50 (JST),"None found, add some","13,148",207,8.371,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,"319,433"
