anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Shiki,TV (22 eps),Jul 2010 - Dec 2010,570283,"Horror, Mystery, Supernatural, Suspense",Fridays at 01:15 (JST),Funimation,8002,340,7.741,https://myanimelist.net/anime/7724/Shiki,248170,summer,2010 
Taiyou no Ko Esteban,TV (39 eps),May 1982 - Feb 1983,12367,"Adventure, Sci-Fi",Unknown,"None found, add some",105,5411,7.741,https://myanimelist.net/anime/1279/Taiyou_no_Ko_Esteban,5271,fall,1982 
Tantei Gakuen Q,TV (45 eps),Apr 2003 - Mar 2004,33581,"Comedy, Drama, Mystery",Unknown,"None found, add some",246,3497,7.741,https://myanimelist.net/anime/407/Tantei_Gakuen_Q,13722,spring,2003 
Kyoukai no Kanata,TV (12 eps),Oct 2013 - Dec 2013,1105341,"Action, Fantasy",Thursdays at 00:30 (JST),Sentai Filmworks,11601,117,7.731,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata,525954,fall,2013 
Mujin Wakusei Survive,TV (52 eps),Oct 2003 - Oct 2004,28115,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",Unknown,"None found, add some",304,3825,7.731,https://myanimelist.net/anime/709/Mujin_Wakusei_Survive,9816,fall,2003 
Sidonia no Kishi: Daikyuu Wakusei Seneki,TV (12 eps),Apr 2015 - Jun 2015,114784,"Action, Sci-Fi",Saturdays at 01:55 (JST),"Funimation, Sentai Filmworks",346,1693,7.731,https://myanimelist.net/anime/24893/Sidonia_no_Kishi__Daikyuu_Wakusei_Seneki,61681,spring,2015 
Slayers,TV (26 eps),Apr 1995 - Sep 1995,135243,"Adventure, Comedy, Fantasy",Fridays at 18:30 (JST),"Funimation, Central Park Media, Enoki Films",1933,1492,7.731,https://myanimelist.net/anime/534/Slayers,60066,spring,1995 
Tegamibachi Reverse,TV (25 eps),Oct 2010 - Mar 2011,61499,"Adventure, Fantasy, Supernatural",Sundays at 00:10 (JST),Sentai Filmworks,210,2534,7.731,https://myanimelist.net/anime/8311/Tegamibachi_Reverse,26261,fall,2010 
Turn A Gundam,TV (50 eps),Apr 1999 - Apr 2000,44360,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",Fridays at 17:00 (JST),Nozomi Entertainment,932,3022,7.731,https://myanimelist.net/anime/95/Turn_A_Gundam,15542,spring,1999 
Ueki no Housoku,TV (51 eps),Apr 2005 - Mar 2006,113433,"Action, Adventure, Supernatural",Mondays at 18:30 (JST),"Discotek Media, Geneon Entertainment USA",853,1715,7.731,https://myanimelist.net/anime/479/Ueki_no_Housoku,47238,spring,2005 
Gakkou no Kaidan,TV (19 eps),Oct 2000 - Mar 2001,189496,"Horror, Mystery, Supernatural",Saturdays at 19:30 (JST),"ADV Films, Discotek Media",1777,1123,7.731,https://myanimelist.net/anime/1281/Gakkou_no_Kaidan,80470,fall,2000 
Jinrui wa Suitai Shimashita,TV (12 eps),Jul 2012 - Sep 2012,182878,"Adventure, Comedy, Fantasy",Unknown,Sentai Filmworks,1919,1160,7.731,https://myanimelist.net/anime/10357/Jinrui_wa_Suitai_Shimashita,59629,summer,2012 
Arakawa Under the Bridge x Bridge,TV (13 eps),Oct 2010 - Dec 2010,158609,"Comedy, Romance",Mondays at 01:35 (JST),"NIS America, Inc.",411,1331,7.721,https://myanimelist.net/anime/9074/Arakawa_Under_the_Bridge_x_Bridge,83391,fall,2010 
Bishoujo Senshi Sailor Moon,TV (46 eps),Mar 1992 - Feb 1993,358330,"Fantasy, Romance",Saturdays at 19:00 (JST),"ADV Films, VIZ Media, DiC Entertainment",9633,584,7.721,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon,178328,fall,1992 
Dragon Ball Kai,TV (97 eps),Apr 2009 - Mar 2011,362441,"Action, Adventure, Comedy, Fantasy",Sundays at 09:00 (JST),Funimation,3038,572,7.721,https://myanimelist.net/anime/6033/Dragon_Ball_Kai,225318,spring,2009 
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV (12 eps),Jan 2016 - Mar 2016,520857,"Action, Adventure, Fantasy",Saturdays at 01:05 (JST),Sentai Filmworks,1825,375,7.721,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,319747,winter,2016 
Junjou Romantica 2,TV (12 eps),Oct 2008 - Dec 2008,173969,"Boys Love, Comedy, Drama, Romance",Unknown,Nozomi Entertainment,961,1227,7.721,https://myanimelist.net/anime/4814/Junjou_Romantica_2,103772,fall,2008 
Kyousou Giga (TV),TV (10 eps),Oct 2013 - Dec 2013,180438,"Action, Fantasy",Thursdays at 01:30 (JST),Discotek Media,1915,1180,7.721,https://myanimelist.net/anime/19703/Kyousou_Giga_TV,50692,fall,2013 
Panty & Stocking with Garterbelt,TV (13 eps),Oct 2010 - Dec 2010,367314,"Action, Comedy, Supernatural, Ecchi",Saturdays at 02:00 (JST),Funimation,5446,563,7.721,https://myanimelist.net/anime/8795/Panty___Stocking_with_Garterbelt,184597,fall,2010 
Tetsuwan Birdy Decode:02,TV (12 eps),Jan 2009 - Mar 2009,50211,"Action, Comedy, Sci-Fi",Saturdays at 02:10 (JST),Funimation,246,2819,7.721,https://myanimelist.net/anime/5074/Tetsuwan_Birdy_Decode_02,23215,winter,2009 
Tokyo Revengers: Seiya Kessen-hen,TV (13 eps),Jan 2023 -,220814,"Action, Drama, Supernatural",Sundays at 02:08 (JST),Disney Platform Distribution,1496,973,7.721,https://myanimelist.net/anime/50608/Tokyo_Revengers__Seiya_Kessen-hen,22265,winter,2023 
Tsuki ga Michibiku Isekai Douchuu,TV (12 eps),Jul 2021 - Sep 2021,344761,"Action, Adventure, Comedy, Fantasy",Wednesdays at 23:00 (JST),"None found, add some",3455,607,7.721,https://myanimelist.net/anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu,179620,summer,2021 
Urusei Yatsura,TV (195 eps),Oct 1981 - Mar 1986,81758,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Wednesdays at 19:30 (JST),"AnimEigo, Discotek Media",1085,2122,7.721,https://myanimelist.net/anime/1293/Urusei_Yatsura,17067,fall,1981 
Watashi no Ashinaga Ojisan,TV (40 eps),Jan 1990 - Dec 1990,15598,"Comedy, Romance, Slice of Life",Sundays at 19:30 (JST),"None found, add some",148,4942,7.711,https://myanimelist.net/anime/1375/Watashi_no_Ashinaga_Ojisan,6148,winter,1990 
Bishoujo Senshi Sailor Moon R,TV (43 eps),Mar 1993 - Mar 1994,149300,"Fantasy, Romance",Unknown,"ADV Films, VIZ Media, DiC Entertainment",795,1386,7.711,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R,82023,fall,1993 
Chi's Sweet Home: Atarashii Ouchi,TV (104 eps),Mar 2009 - Sep 2009,28857,"Comedy, Slice of Life",Not scheduled once per week,Discotek Media,106,3780,7.711,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi,11751,fall,2009 
Chuunibyou demo Koi ga Shitai!,TV (12 eps),Oct 2012 - Dec 2012,1279743,"Comedy, Romance",Thursdays at 00:30 (JST),Sentai Filmworks,17230,89,7.711,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai,737517,fall,2012 
Enen no Shouboutai,TV (24 eps),Jul 2019 - Dec 2019,1207669,"Action, Supernatural",Saturdays at 01:25 (JST),Funimation,8602,98,7.711,https://myanimelist.net/anime/38671/Enen_no_Shouboutai,649669,summer,2019 
Pokemon XY&Z,TV (47 eps),Oct 2015 - Oct 2016,129404,"Action, Adventure, Comedy, Fantasy",Thursdays at 18:55 (JST),The Pokemon Company International,980,1540,7.701,https://myanimelist.net/anime/31592/Pokemon_XY_Z,83130,fall,2015 
D.Gray-man Hallow,TV (13 eps),Jul 2016 - Sep 2016,182528,"Action, Adventure",Tuesdays at 01:35 (JST),Funimation,1030,1163,7.701,https://myanimelist.net/anime/32370/DGray-man_Hallow,77303,summer,2016 
Hanasakeru Seishounen,TV (39 eps),Apr 2009 - Feb 2010,66521,"Drama, Romance",Sundays at 23:01 (JST),Discotek Media,574,2418,7.701,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen,25556,spring,2009 
Hourou Musuko,TV (11 eps),Jan 2011 - Apr 2011,124368,"Drama, Romance",Fridays at 01:15 (JST),"None found, add some",1038,1588,7.701,https://myanimelist.net/anime/8426/Hourou_Musuko,40448,winter,2011 
Ani ni Tsukeru Kusuri wa Nai! 3,TV (12 eps),Oct 2019 - Dec 2019,35918,"Comedy, Slice of Life",Mondays at 09:54 (JST),"None found, add some",46,3396,7.691,https://myanimelist.net/anime/39959/Ani_ni_Tsukeru_Kusuri_wa_Nai_3,17957,fall,2019 
Aoi Bungaku Series,TV (12 eps),Oct 2009 - Dec 2009,211226,"Drama, Suspense",Unknown,"None found, add some",1581,1019,7.691,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series,62634,fall,2009 
Baka to Test to Shoukanjuu Ni!,TV (13 eps),Jul 2011 - Sep 2011,359245,"Comedy, Romance",Fridays at Unknown,Funimation,1181,579,7.691,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni,218051,summer,2011 
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV (12 eps),Jul 2015 - Sep 2015,755809,"Action, Adventure, Fantasy",Saturdays at 00:30 (JST),Sentai Filmworks,5927,227,7.691,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,426208,summer,2015 
Keroro Gunsou,TV (358 eps),Apr 2004 - Apr 2011,72841,"Comedy, Sci-Fi",Unknown,"ADV Films, Funimation, Discotek Media",1133,2286,7.691,https://myanimelist.net/anime/516/Keroro_Gunsou,32825,spring,2004 
Princess Principal,TV (12 eps),Jul 2017 - Sep 2017,198180,"Action, Mystery",Sundays at 23:00 (JST),Sentai Filmworks,2376,1086,7.691,https://myanimelist.net/anime/35240/Princess_Principal,74178,summer,2017 
Shin Kidou Senki Gundam Wing,TV (49 eps),Apr 1995 - Mar 1996,153408,"Action, Drama, Sci-Fi",Fridays at 17:00 (JST),Bandai Entertainment,2314,1367,7.691,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing,86412,spring,1995 
Soukou Kihei Votoms,TV (52 eps),Apr 1983 - Mar 1984,22864,"Action, Drama, Sci-Fi",Unknown,"Central Park Media, Maiden Japan",358,4216,7.691,https://myanimelist.net/anime/2582/Soukou_Kihei_Votoms,5661,spring,1983 
Uchuu Kaizoku Captain Herlock,TV (42 eps),Mar 1978 - Feb 1979,34956,"Action, Adventure, Drama, Sci-Fi",Tuesdays at Unknown,Discotek Media,305,3440,7.691,https://myanimelist.net/anime/1000/Uchuu_Kaizoku_Captain_Herlock,9994,fall,1978 
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,TV (6 eps),Oct 2017 - Nov 2017,42187,"Drama, Fantasy",Fridays at 01:55 (JST),"Sentai Filmworks, Ponycan USA",189,3106,7.681,https://myanimelist.net/anime/34284/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou,15259,fall,2017 
Binbougami ga!,TV (13 eps),Jul 2012 - Sep 2012,223076,"Comedy, Supernatural",Unknown,Funimation,1190,963,7.681,https://myanimelist.net/anime/13535/Binbougami_ga,107893,summer,2012 
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV (11 eps),Jul 2022 - Sep 2022,267056,"Action, Adventure, Fantasy",Saturdays at 01:05 (JST),Sentai Filmworks,1906,809,7.681,https://myanimelist.net/anime/47164/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Meikyuu-hen,87462,summer,2022 
Fruits Basket,TV (26 eps),Jul 2001 - Dec 2001,517503,"Drama, Romance, Supernatural",Thursdays at 18:00 (JST),Funimation,9113,378,7.681,https://myanimelist.net/anime/120/Fruits_Basket,272992,summer,2001 
Hakumei to Mikochi,TV (12 eps),Jan 2018 - Mar 2018,60432,"Fantasy, Slice of Life",Fridays at 21:00 (JST),Sentai Filmworks,366,2558,7.681,https://myanimelist.net/anime/36094/Hakumei_to_Mikochi,17703,winter,2018 
Hayate no Gotoku!!,TV (25 eps),Apr 2009 - Sep 2009,111579,"Action, Comedy, Romance",Saturdays at 01:23 (JST),Sentai Filmworks,474,1737,7.681,https://myanimelist.net/anime/4192/Hayate_no_Gotoku,55705,spring,2009 
Nanatsu no Taizai,TV (24 eps),Oct 2014 - Mar 2015,1934671,"Action, Adventure, Fantasy",Sundays at 17:00 (JST),Funimation,19066,31,7.681,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai,1266723,fall,2014 
Seto no Hanayome,TV (26 eps),Apr 2007 - Oct 2007,315816,"Comedy, Romance",Mondays at 02:00 (JST),Funimation,2921,674,7.681,https://myanimelist.net/anime/2104/Seto_no_Hanayome,140167,spring,2007 
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV (12 eps),Apr 2017 - Jun 2017,372747,"Drama, Fantasy, Romance, Sci-Fi",Tuesdays at 23:30 (JST),Funimation,4217,552,7.681,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,178796,spring,2017 
Kuroshitsuji,TV (24 eps),Oct 2008 - Mar 2009,1116797,"Action, Comedy, Mystery, Supernatural",Unknown,"Funimation, Aniplex of America",21791,112,7.671,https://myanimelist.net/anime/4898/Kuroshitsuji,580522,fall,2008 
Mitsudomoe Zouryouchuu!,TV (8 eps),Jan 2011 - Feb 2011,44236,"Comedy, Slice of Life",Unknown,"None found, add some",86,3029,7.671,https://myanimelist.net/anime/9510/Mitsudomoe_Zouryouchuu,25241,winter,2011 
Mousou Dairinin,TV (13 eps),Feb 2004 - May 2004,385727,"Avant Garde, Drama, Mystery, Supernatural, Suspense",Saturdays at 00:00 (JST),"Funimation, Geneon Entertainment USA",5121,527,7.671,https://myanimelist.net/anime/323/Mousou_Dairinin,149772,fall,2004 
Seikai no Senki,TV (13 eps),Apr 2000 - Jul 2000,32370,"Action, Romance, Sci-Fi",Unknown,"Funimation, Bandai Entertainment",265,3557,7.671,https://myanimelist.net/anime/396/Seikai_no_Senki,14037,spring,2000 
Space Cobra,TV (31 eps),Oct 1982 - May 1983,21073,"Action, Adventure, Sci-Fi",Unknown,"Nozomi Entertainment, Discotek Media",255,4351,7.671,https://myanimelist.net/anime/2451/Space_Cobra,6643,fall,1982 
Tenkuu no Escaflowne,TV (26 eps),Apr 1996 - Sep 1996,147840,"Adventure, Fantasy, Romance",Tuesdays at 18:00 (JST),"Funimation, Bandai Entertainment",2038,1394,7.671,https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne,63593,spring,1996 
Toaru Kagaku no Railgun,TV (24 eps),Oct 2009 - Mar 2010,579766,"Action, Sci-Fi",Saturdays at 01:30 (JST),Funimation,5748,334,7.671,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun,275266,fall,2009 
5-toubun no Hanayome,TV (12 eps),Jan 2019 - Mar 2019,860639,"Comedy, Romance",Fridays at 01:28 (JST),Funimation,12981,175,7.671,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome,556044,winter,2019 
ACCA: 13-ku Kansatsu-ka,TV (12 eps),Jan 2017 - Mar 2017,154900,"Drama, Fantasy, Mystery",Tuesdays at 23:00 (JST),Funimation,1406,1358,7.671,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka,65808,winter,2017 
Akiba Meido Sensou,TV (12 eps),Oct 2022 - Dec 2022,114465,"Action, Comedy",Fridays at 00:00 (JST),Sentai Filmworks,650,1696,7.671,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,42250,fall,2022 
Aria the Animation,TV (13 eps),Oct 2005 - Dec 2005,154705,"Fantasy, Sci-Fi, Slice of Life",Thursdays at 01:30 (JST),Nozomi Entertainment,2095,1360,7.671,https://myanimelist.net/anime/477/Aria_the_Animation,48032,fall,2005 
Chi's Sweet Home,TV (104 eps),Mar 2008 - Sep 2008,62148,"Comedy, Slice of Life",Not scheduled once per week,Discotek Media,424,2523,7.671,https://myanimelist.net/anime/3841/Chis_Sweet_Home,26372,fall,2008 
Dragon Ball Kai (2014),TV (61 eps),Apr 2014 - Jun 2015,175734,"Action, Adventure, Comedy, Fantasy",Sundays at 09:00 (JST),Funimation,722,1215,7.671,https://myanimelist.net/anime/22777/Dragon_Ball_Kai_2014,101668,spring,2014 
Isekai Shokudou 2,TV (12 eps),Oct 2021 - Dec 2021,80568,"Fantasy, Gourmet, Slice of Life",Saturdays at 01:23 (JST),"None found, add some",392,2136,7.671,https://myanimelist.net/anime/48804/Isekai_Shokudou_2,32607,fall,2021 
Kidou Keisatsu Patlabor: On Television,TV (47 eps),Oct 1989 - Sep 1990,35456,"Comedy, Sci-Fi",Unknown,"Central Park Media, Maiden Japan",405,3419,7.671,https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television,9429,fall,1989 
Arslan Senki (TV),TV (25 eps),Apr 2015 - Sep 2015,360019,"Action, Adventure, Drama, Fantasy",Sundays at 17:00 (JST),Funimation,1663,578,7.661,https://myanimelist.net/anime/28249/Arslan_Senki_TV,161317,spring,2015 
Daa! Daa! Daa!,TV (78 eps),Mar 2000 - Feb 2002,24120,"Comedy, Sci-Fi",Tuesdays at 18:00 (JST),"None found, add some",238,4112,7.661,https://myanimelist.net/anime/233/Daa_Daa_Daa,11031,fall,2000 
Fairy Tail (2014),TV (102 eps),Apr 2014 - Mar 2016,933818,"Action, Adventure, Fantasy",Saturdays at 10:30 (JST),Funimation,11734,153,7.661,https://myanimelist.net/anime/22043/Fairy_Tail_2014,525889,spring,2014 
Kami nomi zo Shiru Sekai,TV (12 eps),Oct 2010 - Dec 2010,602021,"Comedy, Romance, Supernatural",Thursdays at 01:50 (JST),Sentai Filmworks,5620,320,7.661,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai,321835,fall,2010 
Kimi to Boku.,TV (13 eps),Oct 2011 - Dec 2011,177969,"Comedy, Drama, Romance, Slice of Life",Unknown,"None found, add some",1364,1195,7.661,https://myanimelist.net/anime/10460/Kimi_to_Boku,60196,fall,2011 
Tsuritama,TV (12 eps),Apr 2012 - Jun 2012,163741,"Comedy, Sci-Fi, Slice of Life",Fridays at 01:15 (JST),Sentai Filmworks,2247,1292,7.661,https://myanimelist.net/anime/12883/Tsuritama,58553,spring,2012 
Wonder Egg Priority,TV (12 eps),Jan 2021 - Mar 2021,688395,"Drama, Fantasy",Wednesdays at 01:29 (JST),Funimation,8614,257,7.661,https://myanimelist.net/anime/43299/Wonder_Egg_Priority,306420,winter,2021 
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,TV (6 eps),Nov 2017 - Jan 2018,39174,"Drama, Fantasy",Fridays at 01:55 (JST),"Sentai Filmworks, Ponycan USA",235,3239,7.661,https://myanimelist.net/anime/34445/Yuuki_Yuuna_wa_Yuusha_de_Aru__Yuusha_no_Shou,14889,fall,2017 
Kubo-san wa Mob wo Yurusanai,TV (12 eps),Jan 2023 -,110995,"Comedy, Romance",Tuesdays at 21:30 (JST),Sentai Filmworks,743,1743,7.661,https://myanimelist.net/anime/51815/Kubo-san_wa_Mob_wo_Yurusanai,14086,winter,2023 
Minami-ke,TV (13 eps),Oct 2007 - Dec 2007,166867,"Comedy, Slice of Life",Mondays at Unknown,"None found, add some",1063,1275,7.661,https://myanimelist.net/anime/2963/Minami-ke,69275,fall,2007 
Nejimaki Seirei Senki: Tenkyou no Alderamin,TV (13 eps),Jul 2016 - Oct 2016,303855,"Action, Adventure, Fantasy",Saturdays at 01:05 (JST),"Funimation, Crunchyroll",1370,703,7.661,https://myanimelist.net/anime/31764/Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin,152755,summer,2016 
Pandora Hearts,TV (25 eps),Apr 2009 - Sep 2009,416344,"Adventure, Fantasy, Mystery, Supernatural",Fridays at 01:29 (JST),"NIS America, Inc.",5133,486,7.661,https://myanimelist.net/anime/5530/Pandora_Hearts,170280,spring,2009 
Sekaiichi Hatsukoi,TV (12 eps),Apr 2011 - Jun 2011,210129,"Boys Love, Comedy, Drama, Romance",Unknown,Funimation,3039,1027,7.661,https://myanimelist.net/anime/9926/Sekaiichi_Hatsukoi,115180,spring,2011 
Shin Mazinger Shougeki! Z-hen,TV (26 eps),Apr 2009 - Sep 2009,14936,"Action, Drama",Unknown,Discotek Media,158,5017,7.661,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen,5054,spring,2009 
Tondemo Skill de Isekai Hourou Meshi,TV (12 eps),Jan 2023 -,83182,"Adventure, Comedy, Fantasy, Gourmet",Wednesdays at 00:00 (JST),"None found, add some",460,2099,7.661,https://myanimelist.net/anime/53446/Tondemo_Skill_de_Isekai_Hourou_Meshi,13721,winter,2023 
Machikado Mazoku,TV (12 eps),Jul 2019 - Sep 2019,150081,"Comedy, Fantasy",Fridays at 01:28 (JST),Sentai Filmworks,1083,1383,7.651,https://myanimelist.net/anime/39071/Machikado_Mazoku,57349,summer,2019 
Minami-ke Tadaima,TV (13 eps),Jan 2013 - Mar 2013,55517,"Comedy, Slice of Life",Unknown,Funimation,81,2686,7.651,https://myanimelist.net/anime/14511/Minami-ke_Tadaima,24578,winter,2013 
Poyopoyo Kansatsu Nikki,TV (52 eps),Jan 2012 - Dec 2012,20417,"Comedy, Slice of Life",Sundays at Unknown,"None found, add some",146,4424,7.651,https://myanimelist.net/anime/12021/Poyopoyo_Kansatsu_Nikki,9128,winter,2012 
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,TV (48 eps),Jan 1998 - Apr 1998,12245,"Action, Comedy",Unknown,"None found, add some",138,5430,7.651,https://myanimelist.net/anime/582/Sexy_Commando_Gaiden__Sugoi_yo_Masaru-san,3333,winter,1998 
Cardcaptor Sakura: Clear Card-hen,TV (22 eps),Jan 2018 - Jun 2018,114338,"Adventure, Comedy, Fantasy, Romance",Sundays at 07:30 (JST),Funimation,609,1701,7.651,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen,42503,winter,2018 
Hai to Gensou no Grimgar,TV (12 eps),Jan 2016 - Mar 2016,688618,"Action, Adventure, Drama, Fantasy",Mondays at 00:30 (JST),Funimation,5859,256,7.651,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,356880,winter,2016 
Heion Sedai no Idaten-tachi,TV (11 eps),Jul 2021 - Sep 2021,170214,"Action, Adventure, Fantasy",Fridays at 00:55 (JST),"None found, add some",1490,1255,7.651,https://myanimelist.net/anime/42625/Heion_Sedai_no_Idaten-tachi,68344,summer,2021 
Inuyashiki,TV (11 eps),Oct 2017 - Dec 2017,600486,"Action, Drama, Sci-Fi",Fridays at 00:55 (JST),"None found, add some",3577,321,7.651,https://myanimelist.net/anime/34542/Inuyashiki,291020,fall,2017 
Kyou kara Maou!,TV (78 eps),Apr 2004 - Feb 2006,108391,"Adventure, Comedy, Fantasy",Saturdays at 09:00 (JST),Discotek Media,1317,1781,7.641,https://myanimelist.net/anime/251/Kyou_kara_Maou,40557,spring,2004 
Maria-sama ga Miteru: Haru,TV (13 eps),Jul 2004 - Sep 2004,26552,"Drama, Girls Love",Unknown,Nozomi Entertainment,85,3922,7.641,https://myanimelist.net/anime/444/Maria-sama_ga_Miteru__Haru,12253,summer,2004 
Seikai no Monshou,TV (13 eps),Jan 1999 - Mar 1999,50143,"Action, Romance, Sci-Fi",Unknown,"Funimation, Bandai Entertainment",446,2822,7.641,https://myanimelist.net/anime/290/Seikai_no_Monshou,17729,winter,1999 
Sidonia no Kishi,TV (12 eps),Apr 2014 - Jun 2014,221667,"Action, Sci-Fi",Unknown,"Funimation, Sentai Filmworks",1424,970,7.641,https://myanimelist.net/anime/19775/Sidonia_no_Kishi,106749,spring,2014 
Flip Flappers,TV (13 eps),Oct 2016 - Dec 2016,181977,"Adventure, Comedy, Sci-Fi",Thursdays at 21:00 (JST),Sentai Filmworks,2096,1167,7.641,https://myanimelist.net/anime/32979/Flip_Flappers,69223,fall,2016 
Genshiken,TV (12 eps),Oct 2004 - Dec 2004,171878,"Comedy, Slice of Life",Sundays at Unknown,Media Blasters,1391,1244,7.641,https://myanimelist.net/anime/240/Genshiken,69192,fall,2004 
Junjou Romantica 3,TV (12 eps),Jul 2015 - Sep 2015,115949,"Boys Love, Comedy, Drama, Romance",Thursdays at 01:05 (JST),Funimation,493,1686,7.641,https://myanimelist.net/anime/25649/Junjou_Romantica_3,60456,summer,2015 
Ichigo Mashimaro,TV (12 eps),Jul 2005 - Oct 2005,98088,"Comedy, Slice of Life",Fridays at Unknown,"Sentai Filmworks, Geneon Entertainment USA",863,1899,7.631,https://myanimelist.net/anime/488/Ichigo_Mashimaro,33843,summer,2005 
Trapp Ikka Monogatari,TV (40 eps),Jan 1991 - Dec 1991,7755,"Drama, Romance",Sundays at 19:30 (JST),"None found, add some",27,6550,7.631,https://myanimelist.net/anime/2557/Trapp_Ikka_Monogatari,3073,winter,1991 
Utawarerumono,TV (26 eps),Apr 2006 - Sep 2006,164143,"Action, Drama, Fantasy, Sci-Fi",Tuesdays at 02:40 (JST),"ADV Films, Funimation",1186,1288,7.631,https://myanimelist.net/anime/856/Utawarerumono,63743,spring,2006 
Rokuhou-dou Yotsuiro Biyori,TV (12 eps),Apr 2018 - Jun 2018,30381,"Gourmet, Slice of Life",Wednesdays at 00:30 (JST),"None found, add some",166,3682,7.631,https://myanimelist.net/anime/36513/Rokuhou-dou_Yotsuiro_Biyori,10967,spring,2018 
Servant x Service,TV (13 eps),Jul 2013 - Sep 2013,211482,"Comedy, Slice of Life",Saturdays at 03:08 (JST),Aniplex of America,671,1017,7.631,https://myanimelist.net/anime/18119/Servant_x_Service,92161,summer,2013 
Mahoujin Guruguru,TV (45 eps),Oct 1994 - Sep 1995,10400,"Adventure, Comedy, Fantasy",Thursdays at 19:30 (JST),"None found, add some",70,5806,7.621,https://myanimelist.net/anime/331/Mahoujin_Guruguru,3353,fall,1994 
Nurarihyon no Mago,TV (24 eps),Jul 2010 - Dec 2010,260567,"Action, Supernatural",Tuesdays at 01:44 (JST),VIZ Media,1319,825,7.621,https://myanimelist.net/anime/7592/Nurarihyon_no_Mago,114352,summer,2010 
Owari no Seraph: Nagoya Kessen-hen,TV (12 eps),Oct 2015 - Dec 2015,739460,"Action, Drama, Supernatural",Saturdays at 22:00 (JST),Funimation,2871,233,7.621,https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen,441683,fall,2015 
Rozen Maiden: Träumend,TV (12 eps),Oct 2005 - Jan 2006,101956,"Action, Comedy, Drama",Fridays at 01:55 (JST),"Sentai Filmworks, Geneon Entertainment USA",452,1847,7.621,https://myanimelist.net/anime/65/Rozen_Maiden__Tr%C3%A4umend,57507,fall,2005 
Shinigami Bocchan to Kuro Maid,TV (12 eps),Jul 2021 - Sep 2021,206249,"Comedy, Drama, Supernatural",Sundays at 22:00 (JST),Funimation,1523,1048,7.621,https://myanimelist.net/anime/47257/Shinigami_Bocchan_to_Kuro_Maid,77714,summer,2021 
Eikoku Koi Monogatari Emma,TV (12 eps),Apr 2005 - Jun 2005,54483,"Drama, Romance",Sundays at 00:30 (JST),Nozomi Entertainment,310,2701,7.621,https://myanimelist.net/anime/345/Eikoku_Koi_Monogatari_Emma,17639,spring,2005 
