,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
1341,Blood+,TV (50 eps),Oct 2005 - Sep 2006,"363,060 members",[],[],[],[],[],[],https://myanimelist.net/anime/150/Blood_
1342,Bokura no,TV (24 eps),Apr 2007 - Sep 2007,"182,942 members",[],[],[],[],[],[],https://myanimelist.net/anime/1690/Bokura_no
1343,Chrno Crusade,TV (24 eps),Nov 2003 - Jun 2004,"218,782 members",[],[],[],[],[],[],https://myanimelist.net/anime/60/Chrno_Crusade
1344,Diamond no Ace: Second Season OVA,OVA (2 eps),Aug 2016 - Oct 2016,"10,638 members",[],[],[],[],[],[],https://myanimelist.net/anime/34349/Diamond_no_Ace__Second_Season_OVA
1345,Eikoku Koi Monogatari Emma,TV (12 eps),Apr 2005 - Jun 2005,"54,483 members","['Genres: Drama, Romance']",['Broadcast: Sundays at 00:30 (JST)'],['Licensors: Nozomi Entertainment'],['Favorites: 310'],['Popularity: #2701'],"['Score: 7.621 (scored by 17,639 users)']",https://myanimelist.net/anime/345/Eikoku_Koi_Monogatari_Emma
1346,Fune wo Amu,TV (11 eps),Oct 2016 - Dec 2016,"114,279 members","['Genres: Award Winning, Drama, Romance']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Discotek Media'],['Favorites: 466'],['Popularity: #1703'],"['Score: 7.621 (scored by 39,603 users)']",https://myanimelist.net/anime/32948/Fune_wo_Amu
1347,Fushigi Yuugi,TV (52 eps),Apr 1995 - Mar 1996,"113,744 members",[],[],[],[],[],[],https://myanimelist.net/anime/123/Fushigi_Yuugi
1348,Gabriel DropOut Specials,Special (2 eps),Mar 2017 - May 2017,"67,934 members",[],[],[],[],[],[],https://myanimelist.net/anime/34855/Gabriel_DropOut_Specials
1349,Gakkougurashi!,TV (12 eps),Jul 2015 - Sep 2015,"426,224 members",[],[],[],[],[],[],https://myanimelist.net/anime/24765/Gakkougurashi
1350,Hakkenden: Touhou Hakken Ibun 2nd Season,TV (13 eps),Jul 2013 - Sep 2013,"61,266 members",[],[],[],[],[],[],https://myanimelist.net/anime/18055/Hakkenden__Touhou_Hakken_Ibun_2nd_Season
1351,Huyao Xiao Hongniang: Yue Hong,ONA (13 eps),Jun 2016 - Sep 2016,"13,062 members",[],[],[],[],[],[],https://myanimelist.net/anime/33446/Huyao_Xiao_Hongniang__Yue_Hong
1352,"Ima, Soko ni Iru Boku",TV (13 eps),Oct 1999 - Jan 2000,"135,393 members","['Genres: Adventure, Drama, Fantasy, Sci-Fi']",['Broadcast: Thursdays at 19:00 (JST)'],"['Licensors: ADV Films, Central Park Media']","['Favorites: 1,131']",['Popularity: #1489'],"['Score: 7.621 (scored by 39,920 users)']",https://myanimelist.net/anime/160/Ima_Soko_ni_Iru_Boku
1353,Jigoku Shoujo Mitsuganae,TV (26 eps),Oct 2008 - Apr 2009,"99,368 members","['Genres: Mystery, Supernatural']",['Broadcast: Saturdays at 17:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 269'],['Popularity: #1875'],"['Score: 7.621 (scored by 40,833 users)']",https://myanimelist.net/anime/3713/Jigoku_Shoujo_Mitsuganae
1354,Jungle wa Itsumo Hare nochi Guu Final,OVA (7 eps),Dec 2003 - Jun 2004,"9,783 members","['Genres: Award Winning, Comedy, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 13'],['Popularity: #5954'],"['Score: 7.621 (scored by 5,336 users)']",https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final
1355,K: Seven Stories Movie 5 - Memory of Red - Burn,Movie (1 eps),Nov 2018 - Nov 2018,"20,661 members",[],[],[],[],[],[],https://myanimelist.net/anime/37306/K__Seven_Stories_Movie_5_-_Memory_of_Red_-_Burn
1356,White Album 2,TV (13 eps),Oct 2013 - Dec 2013,"235,564 members",[],[],[],[],[],[],https://myanimelist.net/anime/18245/White_Album_2
1357,Yama no Susume: Next Summit,TV (12 eps),Oct 2022 - Dec 2022,"20,319 members",[],[],[],[],[],[],https://myanimelist.net/anime/48491/Yama_no_Susume__Next_Summit
1358,Yi Nian Yong Heng: Chuan Cheng Pian,ONA (56 eps),Jul 2022 -,"3,914 members",[],[],[],[],[],[],https://myanimelist.net/anime/49574/Yi_Nian_Yong_Heng__Chuan_Cheng_Pian
1359,Konnichiwa Anne: Before Green Gables,TV (39 eps),Apr 2009 - Dec 2009,"7,016 members",[],[],[],[],[],[],https://myanimelist.net/anime/5494/Konnichiwa_Anne__Before_Green_Gables
1360,Kuroko no Basket: Mou Ikkai Yarimasen ka,Special (1 eps),Jun 2014 - Jun 2014,"46,562 members","['Genres: Comedy, Sports']",[],"['Licensors: None found, add some']",['Favorites: 27'],['Popularity: #2939'],"['Score: 7.611 (scored by 23,644 users)']",https://myanimelist.net/anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka
1361,Overlord Movie 1: Fushisha no Ou,Movie (1 eps),Feb 2017 - Feb 2017,"79,569 members","['Genres: Action, Fantasy, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 129'],['Popularity: #2163'],"['Score: 7.611 (scored by 26,188 users)']",https://myanimelist.net/anime/34161/Overlord_Movie_1__Fushisha_no_Ou
1362,Prison School,TV (12 eps),Jul 2015 - Sep 2015,"946,089 members","['Genres: Comedy, Romance, Ecchi']",['Broadcast: Saturdays at 01:05 (JST)'],['Licensors: Funimation'],"['Favorites: 6,971']",['Popularity: #150'],"['Score: 7.611 (scored by 560,744 users)']",https://myanimelist.net/anime/30240/Prison_School
1363,Ruru-chan no Jisatsu Haishin,Music (1 eps),Jan 2020 - Jan 2020,"2,873 members",[],[],"['Licensors: None found, add some']",['Favorites: 33'],['Popularity: #9392'],"['Score: 7.611 (scored by 1,775 users)']",https://myanimelist.net/anime/41164/Ruru-chan_no_Jisatsu_Haishin
1364,Soredemo Sekai wa Utsukushii,TV (12 eps),Apr 2014 - Jun 2014,"294,730 members",[],[],[],[],[],[],https://myanimelist.net/anime/22101/Soredemo_Sekai_wa_Utsukushii
1365,Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,TV (13 eps),Oct 2015 - Dec 2015,"14,412 members",[],[],[],[],[],[],https://myanimelist.net/anime/30549/Soukyuu_no_Fafner__Dead_Aggressor_-_Exodus_Part_2
1366,The iDOLM@STER,TV (25 eps),Jul 2011 - Dec 2011,"147,607 members",[],[],[],[],[],[],https://myanimelist.net/anime/10278/The_iDOLMSTER
1367,Toaru Hikuushi e no Tsuioku,Movie (1 eps),Oct 2011 - Oct 2011,"71,384 members","['Genres: Adventure, Romance']",[],"['Licensors: NIS America, Inc., Discotek Media']",['Favorites: 258'],['Popularity: #2314'],"['Score: 7.611 (scored by 28,980 users)']",https://myanimelist.net/anime/9000/Toaru_Hikuushi_e_no_Tsuioku
1368,Akudama Drive,TV (12 eps),Oct 2020 - Dec 2020,"389,990 members","['Genres: Action, Sci-Fi']",['Broadcast: Thursdays at 21:30 (JST)'],['Licensors: Funimation'],"['Favorites: 3,369']",['Popularity: #524'],"['Score: 7.611 (scored by 180,809 users)']",https://myanimelist.net/anime/41433/Akudama_Drive
1369,Bleach Movie 4: Jigoku-hen,Movie (1 eps),Dec 2010 - Dec 2010,"200,635 members","['Genres: Action, Adventure, Fantasy']",[],['Licensors: VIZ Media'],['Favorites: 415'],['Popularity: #1071'],"['Score: 7.611 (scored by 115,967 users)']",https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen
1370,Chibi Maruko-chan,TV (142 eps),Jan 1990 - Sep 1992,"11,428 members","['Genres: Comedy, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 100'],['Popularity: #5581'],"['Score: 7.611 (scored by 5,269 users)']",https://myanimelist.net/anime/951/Chibi_Maruko-chan
1371,Free! Dive to the Future,TV (12 eps),Jul 2018 - Sep 2018,"170,356 members",[],[],[],[],[],[],https://myanimelist.net/anime/36704/Free_Dive_to_the_Future
1372,Full Metal Panic!,TV (24 eps),Jan 2002 - Jun 2002,"475,046 members",[],[],[],[],[],[],https://myanimelist.net/anime/71/Full_Metal_Panic
1373,"Fuufu Ijou, Koibito Miman.",TV (12 eps),Oct 2022 - Dec 2022,"209,009 members","['Genres: Comedy, Romance']",['Broadcast: Sundays at 22:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,011']",['Popularity: #1036'],"['Score: 7.611 (scored by 95,254 users)']",https://myanimelist.net/anime/50425/Fuufu_Ijou_Koibito_Miman
1374,Gokinjo Monogatari,TV (50 eps),Sep 1995 - Sep 1996,"22,705 members","['Genres: Comedy, Drama, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 289'],['Popularity: #4223'],"['Score: 7.611 (scored by 4,757 users)']",https://myanimelist.net/anime/852/Gokinjo_Monogatari
1375,Hakuouki Movie 1: Kyoto Ranbu,Movie (1 eps),Aug 2013 - Aug 2013,"27,855 members","['Genres: Action, Drama, Supernatural']",[],['Licensors: Sentai Filmworks'],['Favorites: 77'],['Popularity: #3839'],"['Score: 7.611 (scored by 8,943 users)']",https://myanimelist.net/anime/13117/Hakuouki_Movie_1__Kyoto_Ranbu
1376,Hana yori Dango,TV (51 eps),Sep 1996 - Aug 1997,"58,622 members","['Genres: Drama, Romance']",['Broadcast: Unknown'],"['Licensors: VIZ Media, Discotek Media']",['Favorites: 756'],['Popularity: #2605'],"['Score: 7.611 (scored by 24,022 users)']",https://myanimelist.net/anime/106/Hana_yori_Dango
1377,Hellsing: Digest for Freaks,OVA (1 eps),Jan 2006 - Jan 2006,"41,960 members","['Genres: Action, Horror, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 62'],['Popularity: #3116'],"['Score: 7.611 (scored by 14,481 users)']",https://myanimelist.net/anime/6904/Hellsing__Digest_for_Freaks
1378,Jigoku Shoujo,TV (26 eps),Oct 2005 - Apr 2006,"341,967 members",[],[],[],[],[],[],https://myanimelist.net/anime/228/Jigoku_Shoujo
1379,Kidou Senshi Gundam Unicorn RE:0096,TV (22 eps),Apr 2016 - Sep 2016,"31,819 members","['Genres: Action, Drama, Sci-Fi']",['Broadcast: Sundays at 07:00 (JST)'],['Licensors: NYAV Post'],['Favorites: 163'],['Popularity: #3587'],"['Score: 7.611 (scored by 14,356 users)']",https://myanimelist.net/anime/32792/Kidou_Senshi_Gundam_Unicorn_RE_0096
1380,Detective Conan Movie 09: Promo Special,Special (1 eps),2005 - 2005,"9,380 members","['Genres: Adventure, Comedy, Mystery']",[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #6063'],"['Score: 7.601 (scored by 3,802 users)']",https://myanimelist.net/anime/7471/Detective_Conan_Movie_09__Promo_Special
1381,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,Movie (1 eps),Oct 2010 - Oct 2010,"6,997 members",[],[],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #6817'],"['Score: 7.601 (scored by 3,555 users)']",https://myanimelist.net/anime/9288/Heartcatch_Precure_Movie__Hana_no_Miyako_de_Fashion_Show_desu_ka
1382,Juubee Ninpuuchou,Movie (1 eps),Jun 1993 - Jun 1993,"129,442 members",[],[],[],[],[],[],https://myanimelist.net/anime/617/Juubee_Ninpuuchou
1383,Kareshi Kanojo no Jijou,TV (26 eps),Oct 1998 - Mar 1999,"215,483 members",[],[],[],[],[],[],https://myanimelist.net/anime/145/Kareshi_Kanojo_no_Jijou
1384,Kekkai Sensen,TV (12 eps),Apr 2015 - Oct 2015,"823,992 members",[],[],[],[],[],[],https://myanimelist.net/anime/24439/Kekkai_Sensen
1385,Kekkaishi,TV (52 eps),Oct 2006 - Feb 2008,"106,107 members",[],[],[],[],[],[],https://myanimelist.net/anime/1606/Kekkaishi
1386,"Kimi to, Nami ni Noretara",Movie (1 eps),Jun 2019 - Jun 2019,"196,037 members","['Genres: Drama, Romance, Supernatural']",[],['Licensors: GKIDS'],"['Favorites: 1,189']",['Popularity: #1093'],"['Score: 7.601 (scored by 78,605 users)']",https://myanimelist.net/anime/38594/Kimi_to_Nami_ni_Noretara
1387,Kino no Tabi: The Beautiful World - The Animated Series,TV (12 eps),Oct 2017 - Dec 2017,"191,671 members","['Genres: Action, Adventure, Slice of Life']",['Broadcast: Fridays at 22:00 (JST)'],['Licensors: Funimation'],['Favorites: 986'],['Popularity: #1117'],"['Score: 7.601 (scored by 76,661 users)']",https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series
1388,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,OVA (3 eps),Sep 2021 - Sep 2022,"59,320 members","['Genres: Fantasy, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 368'],['Popularity: #2586'],"['Score: 7.601 (scored by 9,598 users)']",https://myanimelist.net/anime/48438/Mahoutsukai_no_Yome__Nishi_no_Shounen_to_Seiran_no_Kishi
1389,Majo Minarai wo Sagashite,Movie (1 eps),Nov 2020 - Nov 2020,"9,958 members","['Genres: Award Winning, Comedy, Drama']",[],"['Licensors: None found, add some']",['Favorites: 25'],['Popularity: #5912'],"['Score: 7.601 (scored by 2,012 users)']",https://myanimelist.net/anime/39585/Majo_Minarai_wo_Sagashite
1390,Master Keaton,TV (24 eps),Oct 1998 - Mar 1999,"25,107 members",[],[],[],[],[],[],https://myanimelist.net/anime/1483/Master_Keaton
1391,Nanatsu no Taizai: Imashime no Fukkatsu,TV (24 eps),Jan 2018 - Jun 2018,"1,057,249 members",[],[],[],[],[],[],https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu
1392,Osomatsu-san 2nd Season,TV (25 eps),Oct 2017 - Mar 2018,"52,410 members",[],['Broadcast: Tuesdays at 01:35 (JST)'],['Licensors: VIZ Media'],['Favorites: 228'],['Popularity: #2758'],"['Score: 7.601 (scored by 21,242 users)']",https://myanimelist.net/anime/35067/Osomatsu-san_2nd_Season
1393,Persona 3 the Movie 3: Falling Down,Movie (1 eps),Apr 2015 - Apr 2015,"69,898 members","['Genres: Action, Fantasy, Supernatural']",[],['Licensors: Aniplex of America'],['Favorites: 204'],['Popularity: #2341'],"['Score: 7.601 (scored by 33,840 users)']",https://myanimelist.net/anime/24543/Persona_3_the_Movie_3__Falling_Down
1394,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,Movie (1 eps),Nov 2019 - Nov 2019,"233,598 members",[],[],[],[],[],[],https://myanimelist.net/anime/38414/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Hyouketsu_no_Kizuna
1395,Senki Zesshou Symphogear AXZ,TV (13 eps),Jul 2017 - Oct 2017,"33,983 members",[],[],[],[],[],[],https://myanimelist.net/anime/32836/Senki_Zesshou_Symphogear_AXZ
1396,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Movie (1 eps),Oct 2022 - Oct 2022,"74,450 members",[],[],[],[],[],[],https://myanimelist.net/anime/50275/Sword_Art_Online__Progressive_Movie_-_Kuraki_Yuuyami_no_Scherzo
1397,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,OVA (4 eps),May 2009 - Sep 2009,"14,789 members",[],[],[],[],[],[],https://myanimelist.net/anime/5751/Tennis_no_Ouji-sama__Another_Story_-_Kako_to_Mirai_no_Message
1398,The iDOLM@STER Movie: Kagayaki no Mukougawa e!,Movie (1 eps),Jan 2014 - Jan 2014,"23,236 members",[],[],[],[],[],[],https://myanimelist.net/anime/17437/The_iDOLMSTER_Movie__Kagayaki_no_Mukougawa_e
1399,Majin Tantei Nougami Neuro,TV (25 eps),Oct 2007 - Mar 2008,"65,375 members",[],[],[],[],[],[],https://myanimelist.net/anime/2985/Majin_Tantei_Nougami_Neuro
1400,Nezha Zhi Mo Tong Jiang Shi,Movie (1 eps),Jul 2019 - Jul 2019,"12,769 members",[],[],[],[],[],[],https://myanimelist.net/anime/40111/Nezha_Zhi_Mo_Tong_Jiang_Shi
1401,One Piece: Episode of Luffy - Hand Island no Bouken,Special (1 eps),Dec 2012 - Dec 2012,"48,696 members",[],[],[],[],[],[],https://myanimelist.net/anime/16239/One_Piece__Episode_of_Luffy_-_Hand_Island_no_Bouken
1402,Ranma ½: Yomigaeru Kioku,OVA (2 eps),Dec 1994 - Feb 1995,"18,262 members",[],[],[],[],[],[],https://myanimelist.net/anime/1008/Ranma_%C2%BD__Yomigaeru_Kioku
1403,Romeo x Juliet,TV (24 eps),Apr 2007 - Sep 2007,"177,730 members","['Genres: Drama, Fantasy, Romance']",['Broadcast: Unknown'],['Licensors: Funimation'],"['Favorites: 1,169']",['Popularity: #1197'],"['Score: 7.591 (scored by 72,692 users)']",https://myanimelist.net/anime/1699/Romeo_x_Juliet
1404,Shin Tennis no Ouji-sama vs. Genius 10,OVA (10 eps),Oct 2014 - Jun 2015,"17,629 members",[],[],"['Licensors: None found, add some']",['Favorites: 48'],['Popularity: #4724'],"['Score: 7.591 (scored by 7,933 users)']",https://myanimelist.net/anime/21755/Shin_Tennis_no_Ouji-sama_vs_Genius_10
1405,Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,Movie (1 eps),Aug 2020 - Aug 2020,"6,412 members",[],[],"['Licensors: None found, add some']",['Favorites: 27'],['Popularity: #7045'],"['Score: 7.591 (scored by 1,955 users)']",https://myanimelist.net/anime/40665/Shoujo%E2%98%86Kageki_Revue_Starlight__Rondo_Rondo_Rondo
1406,Shuumatsu no Walküre II,ONA (15 eps),Jan 2023 - 2023,"50,799 members","['Genres: Action, Drama, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 189'],['Popularity: #2795'],"['Score: 7.591 (scored by 16,077 users)']",https://myanimelist.net/anime/49618/Shuumatsu_no_Walk%C3%BCre_II
1407,Uchuu Senkan Yamato,TV (26 eps),Oct 1974 - Mar 1975,"26,484 members","['Genres: Action, Adventure, Award Winning, Drama, Sci-Fi']",['Broadcast: Sundays at 19:30 (JST)'],['Licensors: Voyager Entertainment'],['Favorites: 196'],['Popularity: #3925'],"['Score: 7.591 (scored by 6,889 users)']",https://myanimelist.net/anime/1650/Uchuu_Senkan_Yamato
1408,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA (1 eps),Sep 2013 - Sep 2013,"255,006 members","['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 470'],['Popularity: #846'],"['Score: 7.591 (scored by 156,410 users)']",https://myanimelist.net/anime/18753/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_OVA
1409,Yama no Susume Third Season,TV (13 eps),Jul 2018 - Sep 2018,"23,756 members","['Genres: Adventure, Comedy, Slice of Life']",['Broadcast: Tuesdays at 01:40 (JST)'],"['Licensors: None found, add some']",['Favorites: 68'],['Popularity: #4151'],"['Score: 7.591 (scored by 9,075 users)']",https://myanimelist.net/anime/35672/Yama_no_Susume_Third_Season
1410,Yowamushi Pedal: Glory Line,TV (25 eps),Jan 2018 - Jun 2018,"56,054 members",[],['Broadcast: Tuesdays at 02:05 (JST)'],"['Licensors: None found, add some']",['Favorites: 101'],['Popularity: #2668'],"['Score: 7.591 (scored by 26,040 users)']",https://myanimelist.net/anime/35789/Yowamushi_Pedal__Glory_Line
1411,Aikatsu Stars!,TV (100 eps),Apr 2016 - Mar 2018,"18,606 members",[],['Broadcast: Thursdays at 18:25 (JST)'],"['Licensors: None found, add some']",['Favorites: 301'],['Popularity: #4614'],"['Score: 7.591 (scored by 5,818 users)']",https://myanimelist.net/anime/32717/Aikatsu_Stars
1412,Ajin Part 2,TV (13 eps),Oct 2016 - Dec 2016,"281,900 members","['Genres: Action, Horror, Mystery, Supernatural']",['Broadcast: Saturdays at 02:25 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 500'],['Popularity: #763'],"['Score: 7.591 (scored by 163,402 users)']",https://myanimelist.net/anime/33253/Ajin_Part_2
1413,Ashita no Nadja,TV (50 eps),Feb 2003 - Jan 2004,"30,506 members","['Genres: Adventure, Drama, Romance']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 254'],['Popularity: #3674'],"['Score: 7.591 (scored by 10,841 users)']",https://myanimelist.net/anime/1946/Ashita_no_Nadja
1414,Asobi Asobase Specials,Special (2 eps),Nov 2018 - Dec 2018,"41,903 members",[],[],"['Licensors: None found, add some']",['Favorites: 19'],['Popularity: #3119'],"['Score: 7.591 (scored by 23,072 users)']",https://myanimelist.net/anime/38002/Asobi_Asobase_Specials
1415,Chuuka Ichiban!,TV (52 eps),Apr 1997 - Sep 1998,"18,918 members","['Genres: Action, Comedy, Drama, Gourmet']",['Broadcast: Sundays at 19:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 112'],['Popularity: #4578'],"['Score: 7.591 (scored by 7,971 users)']",https://myanimelist.net/anime/110/Chuuka_Ichiban
1416,Diamond no Ace OVA,OVA (3 eps),Nov 2014 - Mar 2015,"16,411 members",[],[],"['Licensors: None found, add some']",['Favorites: 28'],['Popularity: #4848'],"['Score: 7.591 (scored by 7,617 users)']",https://myanimelist.net/anime/25341/Diamond_no_Ace_OVA
1417,Digimon Adventure Movie,Movie (1 eps),Mar 1999 - Mar 1999,"108,946 members","['Genres: Action, Fantasy, Sci-Fi']",[],['Licensors: Saban Entertainment'],['Favorites: 355'],['Popularity: #1772'],"['Score: 7.591 (scored by 70,244 users)']",https://myanimelist.net/anime/2961/Digimon_Adventure_Movie
1418,Ga-Rei: Zero,TV (12 eps),Oct 2008 - Dec 2008,"231,114 members","['Genres: Action, Supernatural, Suspense']",['Broadcast: Mondays at 00:00 (JST)'],['Licensors: Funimation'],"['Favorites: 2,824']",['Popularity: #931'],"['Score: 7.591 (scored by 93,585 users)']",https://myanimelist.net/anime/4725/Ga-Rei__Zero
1419,Hakuouki: Sekkaroku,OVA (6 eps),Aug 2011 - Jun 2012,"27,011 members","['Genres: Action, Drama, Fantasy']",[],['Licensors: Sentai Filmworks'],['Favorites: 75'],['Popularity: #3898'],"['Score: 7.591 (scored by 11,220 users)']",https://myanimelist.net/anime/10350/Hakuouki__Sekkaroku
1420,Hoshiai no Sora,TV (12 eps),Oct 2019 - Dec 2019,"187,125 members","['Genres: Drama, Sports']",['Broadcast: Fridays at 01:58 (JST)'],['Licensors: Funimation'],"['Favorites: 2,120']",['Popularity: #1136'],"['Score: 7.591 (scored by 77,687 users)']",https://myanimelist.net/anime/37972/Hoshiai_no_Sora
1421,Hourou Musuko Specials,Special (2 eps),Aug 2011 - Sep 2011,"9,628 members",[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #6001'],"['Score: 7.591 (scored by 3,995 users)']",https://myanimelist.net/anime/10935/Hourou_Musuko_Specials
1422,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,OVA (3 eps),Nov 2010 - Jun 2011,"64,275 members","['Genres: Comedy, Sports, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 142'],['Popularity: #2472'],"['Score: 7.581 (scored by 32,012 users)']",https://myanimelist.net/anime/9201/Air_Gear__Kuro_no_Hane_to_Nemuri_no_Mori_-_Break_on_the_Sky
1423,Ani ni Tsukeru Kusuri wa Nai! 4,TV (12 eps),Oct 2020 - Dec 2020,"25,969 members","['Genres: Comedy, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 30'],['Popularity: #3969'],"['Score: 7.581 (scored by 11,708 users)']",https://myanimelist.net/anime/42238/Ani_ni_Tsukeru_Kusuri_wa_Nai_4
1424,Ao Haru Ride OVA,OVA (2 eps),Aug 2014 - Dec 2014,"139,959 members",[],[],"['Licensors: None found, add some']",['Favorites: 231'],['Popularity: #1450'],"['Score: 7.581 (scored by 76,127 users)']",https://myanimelist.net/anime/24151/Ao_Haru_Ride_OVA
1425,Ao no Exorcist Movie,Movie (1 eps),Dec 2012 - Dec 2012,"259,819 members","['Genres: Action, Fantasy']",[],['Licensors: Aniplex of America'],['Favorites: 397'],['Popularity: #827'],"['Score: 7.581 (scored by 136,684 users)']",https://myanimelist.net/anime/11737/Ao_no_Exorcist_Movie
1426,BanG Dream! 2nd Season,TV (13 eps),Jan 2019 - Mar 2019,"40,395 members",[],['Broadcast: Thursdays at 23:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 425'],['Popularity: #3182'],"['Score: 7.581 (scored by 19,894 users)']",https://myanimelist.net/anime/37869/BanG_Dream_2nd_Season
1427,Black Jack (TV),TV (61 eps),Oct 2004 - Mar 2006,"33,601 members",[],['Broadcast: Mondays at 19:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 191'],['Popularity: #3496'],"['Score: 7.581 (scored by 11,856 users)']",https://myanimelist.net/anime/2213/Black_Jack_TV
1428,Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie (1 eps),Aug 2021 - Aug 2021,"211,112 members",[],[],['Licensors: Funimation'],['Favorites: 936'],['Popularity: #1020'],"['Score: 7.581 (scored by 82,696 users)']",https://myanimelist.net/anime/44200/Boku_no_Hero_Academia_the_Movie_3__World_Heroes_Mission
1429,Byousoku 5 Centimeter,Movie (3 eps),Mar 2007 - Mar 2007,"890,799 members","['Genres: Drama, Romance']",[],"['Licensors: ADV Films, Bandai Entertainment, Discotek Media, GKIDS, Crunchyroll']","['Favorites: 10,553']",['Popularity: #162'],"['Score: 7.581 (scored by 533,329 users)']",https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
1430,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,OVA (1 eps),Feb 2008 - Feb 2008,"40,292 members",[],[],"['Licensors: None found, add some']",['Favorites: 51'],['Popularity: #3189'],"['Score: 7.581 (scored by 14,615 users)']",https://myanimelist.net/anime/4596/Code_Geass__Hangyaku_no_Lelouch_Special_Edition_-_Black_Rebellion
1431,Deaimon,TV (12 eps),Apr 2022 - Jun 2022,"84,110 members",[],['Broadcast: Wednesdays at 23:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 412'],['Popularity: #2094'],"['Score: 7.581 (scored by 35,741 users)']",https://myanimelist.net/anime/48779/Deaimon
1432,Detective Conan: Conan vs. Kid - Shark & Jewel,Movie (1 eps),Jul 2005 - Jul 2005,"8,016 members","['Genres: Adventure, Comedy, Mystery']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #6444'],"['Score: 7.581 (scored by 2,369 users)']",https://myanimelist.net/anime/9785/Detective_Conan__Conan_vs_Kid_-_Shark___Jewel
1433,Doupo Cangqiong 2nd Season,ONA (12 eps),Mar 2018 - May 2018,"8,141 members","['Genres: Action, Adventure, Fantasy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 31'],['Popularity: #6406'],"['Score: 7.581 (scored by 4,215 users)']",https://myanimelist.net/anime/37176/Doupo_Cangqiong_2nd_Season
1434,Fairy Tail,TV (175 eps),Oct 2009 - Mar 2013,"1,654,189 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Saturdays at 10:30 (JST)'],['Licensors: Funimation'],"['Favorites: 45,030']",['Popularity: #48'],"['Score: 7.581 (scored by 966,437 users)']",https://myanimelist.net/anime/6702/Fairy_Tail
1435,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Movie (1 eps),May 2021 - May 2021,"63,161 members","['Genres: Action, Fantasy, Supernatural']",[],['Licensors: Aniplex of America'],['Favorites: 161'],['Popularity: #2494'],"['Score: 7.581 (scored by 21,125 users)']",https://myanimelist.net/anime/38086/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_2_-_Paladin__Agateram
