,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
88,"['Genres: Comedy, Romance, Sci-Fi']",[],"['Licensors: ADV Films, Funimation']",['Favorites: 5'],['Popularity: #6753'],"['Score: 7.001 (scored by 3,156 users)']"
89,"['Genres: Action, Drama']",['Broadcast: Sundays at 00:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 181'],['Popularity: #2117'],"['Score: 7.001 (scored by 22,302 users)']"
90,[],['Broadcast: Saturdays at 01:23 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 163'],['Popularity: #2757'],"['Score: 7.001 (scored by 18,546 users)']"
91,[],['Broadcast: Tuesdays at 02:05 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 5,273']",['Popularity: #305'],"['Score: 7.001 (scored by 324,909 users)']"
92,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #11485'],['Score: 7.001 (scored by 262 users)']
93,"['Genres: Action, Supernatural']",[],['Licensors: bilibili'],['Favorites: 8'],['Popularity: #7184'],"['Score: 7.001 (scored by 1,253 users)']"
94,"['Genres: Drama, Romance']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 456'],['Popularity: #906'],"['Score: 7.001 (scored by 98,561 users)']"
95,"['Genres: Action, Adventure, Comedy, Mystery']",[],"['Licensors: Discotek Media, Geneon Entertainment USA, Streamline Pictures']",['Favorites: 37'],['Popularity: #5323'],"['Score: 7.001 (scored by 6,698 users)']"
96,[],[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #12965'],['Score: 7.001 (scored by 483 users)']
97,"['Genres: Adventure, Fantasy']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 38'],['Popularity: #4491'],"['Score: 7.001 (scored by 8,612 users)']"
98,"['Genres: Comedy, Fantasy, Sports']",[],"['Licensors: None found, add some']",['Favorites: 14'],['Popularity: #3479'],"['Score: 7.001 (scored by 18,055 users)']"
99,"['Genres: Action, Fantasy']",['Broadcast: Unknown'],"['Licensors: VIZ Media, Discotek Media']",['Favorites: 9'],['Popularity: #7317'],"['Score: 7.001 (scored by 2,120 users)']"
100,"['Genres: Action, Drama, Romance, Sci-Fi']",[],"['Licensors: ADV Films, Sentai Filmworks']",['Favorites: 19'],['Popularity: #5001'],"['Score: 7.001 (scored by 6,852 users)']"
101,[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #7550'],"['Score: 7.001 (scored by 2,360 users)']"
102,[],[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #7498'],"['Score: 7.001 (scored by 2,145 users)']"
103,[],['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 1,444']",['Popularity: #336'],"['Score: 7.001 (scored by 323,393 users)']"
104,"['Genres: Action, Horror, Sci-Fi']",['Broadcast: Saturdays at 00:30 (JST)'],['Licensors: VIZ Media'],['Favorites: 622'],['Popularity: #972'],"['Score: 7.001 (scored by 112,391 users)']"
105,"['Genres: Drama, Mystery, Supernatural']",['Broadcast: Mondays at 00:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 326'],['Popularity: #1207'],"['Score: 6.991 (scored by 68,523 users)']"
106,"['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 40'],['Popularity: #4575'],"['Score: 6.991 (scored by 3,652 users)']"
107,"['Genres: Comedy, Slice of Life']",['Broadcast: Saturdays at 11:40 (JST)'],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #11288'],['Score: 6.991 (scored by 424 users)']
108,[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #5176'],"['Score: 6.991 (scored by 7,147 users)']"
109,"['Genres: Action, Drama, Horror, Sci-Fi, Suspense']",[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #11715'],['Score: 6.991 (scored by 564 users)']
110,"['Genres: Action, Adventure, Comedy, Mystery']",[],['Licensors: Discotek Media'],['Favorites: 0'],['Popularity: #7040'],"['Score: 6.991 (scored by 2,563 users)']"
111,"['Genres: Action, Adventure, Fantasy']",[],['Licensors: Funimation'],['Favorites: 156'],['Popularity: #2670'],"['Score: 6.991 (scored by 28,431 users)']"
112,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 17:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 785'],['Popularity: #264'],"['Score: 6.991 (scored by 409,012 users)']"
113,[],[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #6085'],"['Score: 6.991 (scored by 3,984 users)']"
114,[],[],['Licensors: ADV Films'],['Favorites: 5'],['Popularity: #8756'],"['Score: 6.991 (scored by 1,048 users)']"
115,"['Genres: Comedy, Slice of Life']",['Broadcast: Saturdays at 01:50 (JST)'],"['Licensors: None found, add some']",['Favorites: 161'],['Popularity: #4729'],"['Score: 6.991 (scored by 7,252 users)']"
116,"['Genres: Adventure, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #5774'],"['Score: 6.991 (scored by 4,270 users)']"
117,"['Genres: Comedy, Drama']",['Broadcast: Thursdays at 03:10 (JST)'],['Licensors: Media Blasters'],['Favorites: 248'],['Popularity: #2516'],"['Score: 6.991 (scored by 28,671 users)']"
118,"['Genres: Comedy, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #8250'],"['Score: 6.991 (scored by 1,306 users)']"
119,"['Genres: Action, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #4709'],"['Score: 6.991 (scored by 9,342 users)']"
120,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 7'],['Popularity: #11892'],['Score: 6.991 (scored by 386 users)']
121,"['Genres: Action, Fantasy, Supernatural, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 229'],['Popularity: #1138'],"['Score: 6.991 (scored by 83,510 users)']"
122,"['Genres: Boys Love, Romance']",[],"['Licensors: None found, add some']",['Favorites: 104'],['Popularity: #2901'],"['Score: 6.991 (scored by 24,584 users)']"
123,"['Genres: Comedy, Romance, Sci-Fi, Ecchi']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],"['Favorites: 4,031']",['Popularity: #313'],"['Score: 6.991 (scored by 309,961 users)']"
124,"['Genres: Adventure, Comedy']",['Broadcast: Fridays at 18:30 (JST)'],['Licensors: VIZ Media'],['Favorites: 250'],['Popularity: #2659'],"['Score: 6.991 (scored by 28,123 users)']"
125,"['Genres: Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 17'],['Popularity: #4402'],"['Score: 6.991 (scored by 7,549 users)']"
126,"['Genres: Action, Sci-Fi, Ecchi']",[],"['Licensors: Funimation, Crunchyroll']",['Favorites: 16'],['Popularity: #5844'],"['Score: 6.991 (scored by 3,557 users)']"
