genre,0
 Comedy,851
 Action,772
 Fantasy,571
 Drama,541
 Adventure,525
 Romance,488
 Sci-Fi,439
 Supernatural,328
 Mystery,209
 Slice of Life,199
 Ecchi,125
 Sports,71
 Horror,66
 Suspense,53
 Award Winning,52
 Gourmet,35
 Girls Love,27
 Boys Love,20
 Avant Garde,8
