,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,[],[],"['Licensors: None found, add some']",['Favorites: 19'],['Popularity: #12563'],['Score: 7.421 (scored by 395 users)']
1,"['Genres: Action, Adventure, Comedy, Fantasy, Romance, Ecchi']",['Broadcast: Mondays at 00:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,246']",['Popularity: #405'],"['Score: 7.421 (scored by 298,473 users)']"
2,[],[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #8875'],"['Score: 7.421 (scored by 2,143 users)']"
3,"['Genres: Drama, Romance, Sci-Fi']",['Broadcast: Tuesdays at 01:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 1,997']",['Popularity: #556'],"['Score: 7.421 (scored by 174,471 users)']"
4,"['Genres: Drama, Romance']",['Broadcast: Saturdays at 21:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,286']",['Popularity: #701'],"['Score: 7.421 (scored by 138,757 users)']"
5,[],[],"['Licensors: None found, add some']","['Favorites: 1,475']",['Popularity: #1099'],"['Score: 7.421 (scored by 111,589 users)']"
6,"['Genres: Action, Comedy, Mystery']",[],['Licensors: Discotek Media'],['Favorites: 5'],['Popularity: #6497'],"['Score: 7.421 (scored by 3,096 users)']"
7,[],[],"['Licensors: None found, add some']",['Favorites: 94'],['Popularity: #2945'],"['Score: 7.421 (scored by 17,740 users)']"
8,"['Genres: Comedy, Supernatural']",['Broadcast: Tuesdays at 23:30 (JST)'],"['Licensors: Funimation, Crunchyroll']",['Favorites: 563'],['Popularity: #1602'],"['Score: 7.421 (scored by 51,623 users)']"
9,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 00:30 (JST)'],['Licensors: Funimation'],"['Favorites: 6,800']",['Popularity: #132'],"['Score: 7.421 (scored by 609,857 users)']"
10,"['Genres: Action, Drama, Sci-Fi']",['Broadcast: Fridays at 01:15 (JST)'],['Licensors: Funimation'],"['Favorites: 16,776']",['Popularity: #103'],"['Score: 7.421 (scored by 613,389 users)']"
11,"['Genres: Action, Comedy, Romance, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 259'],['Popularity: #1538'],"['Score: 7.421 (scored by 68,995 users)']"
12,"['Genres: Gourmet, Slice of Life']",['Broadcast: Tuesdays at 22:00 (JST)'],['Licensors: Funimation'],['Favorites: 253'],['Popularity: #2607'],"['Score: 7.421 (scored by 23,977 users)']"
13,[],['Broadcast: Sundays at 23:30 (JST)'],['Licensors: Funimation'],['Favorites: 514'],['Popularity: #2546'],"['Score: 7.421 (scored by 16,620 users)']"
14,[],['Broadcast: Mondays at 00:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 166'],['Popularity: #2643'],"['Score: 7.421 (scored by 23,491 users)']"
15,"['Genres: Comedy, Drama, Romance']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],['Favorites: 868'],['Popularity: #1939'],"['Score: 7.421 (scored by 48,139 users)']"
16,"['Genres: Comedy, Fantasy, Supernatural']",[],['Licensors: Funimation'],['Favorites: 350'],['Popularity: #1637'],"['Score: 7.421 (scored by 61,463 users)']"
17,"['Genres: Adventure, Comedy, Fantasy']",[],['Licensors: Discotek Media'],['Favorites: 44'],['Popularity: #4190'],"['Score: 7.421 (scored by 10,249 users)']"
18,"['Genres: Comedy, Sci-Fi']",['Broadcast: Tuesdays at Unknown'],['Licensors: Funimation'],['Favorites: 332'],['Popularity: #1984'],"['Score: 7.421 (scored by 39,129 users)']"
19,"['Genres: Action, Romance, Sci-Fi, Supernatural']",['Broadcast: Sundays at 00:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 10,745']",['Popularity: #138'],"['Score: 7.421 (scored by 555,038 users)']"
20,"['Genres: Action, Fantasy, Girls Love']",['Broadcast: Fridays at 01:30 (JST)'],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 1,145']",['Popularity: #1736'],"['Score: 7.421 (scored by 50,855 users)']"
21,"['Genres: Comedy, Slice of Life']",['Broadcast: Sundays at 22:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 318'],['Popularity: #1942'],"['Score: 7.421 (scored by 32,319 users)']"
22,"['Genres: Adventure, Slice of Life']",['Broadcast: Sundays at 19:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 18'],['Popularity: #7436'],"['Score: 7.421 (scored by 1,988 users)']"
23,"['Genres: Action, Adventure, Fantasy']",[],['Licensors: VIZ Media'],['Favorites: 205'],['Popularity: #904'],"['Score: 7.421 (scored by 138,492 users)']"
24,[],[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #9529'],"['Score: 7.421 (scored by 1,485 users)']"
