,anime name,link_to_anime_page,anime_type,anime_aired,anime_members
38,Shiguang Dailiren,https://myanimelist.net/anime/44074/Shiguang_Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"273,774 members"
39,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,724,945 members"
40,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,TV (75 eps),Oct 2000 - Mar 2002,"525,355 members"
41,Kingdom 4th Season,https://myanimelist.net/anime/50160/Kingdom_4th_Season,TV (26 eps),Apr 2022 - Oct 2022,"49,059 members"
42,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,TV (10 eps),Oct 2014 - Dec 2014,"249,204 members"
43,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"177,289 members"
44,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,273,763 members"
45,86 Part 2,https://myanimelist.net/anime/48569/86_Part_2,TV (12 eps),Oct 2021 - Mar 2022,"398,025 members"
46,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,TV (47 eps),Oct 1980 - Aug 1981,"45,991 members"
47,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,TV (12 eps),Oct 2021 - Dec 2021,"731,815 members"
48,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"265,229 members"
49,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,TV (10 eps),Apr 2014 - Jun 2014,"282,605 members"
50,Odd Taxi,https://myanimelist.net/anime/46102/Odd_Taxi,TV (13 eps),Apr 2021 - Jun 2021,"367,395 members"
51,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,104,590 members"
52,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,ONA (14 eps),Dec 2022 - Dec 2022,"113,046 members"
53,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,Movie (1 eps),Aug 2020 - Aug 2020,"309,033 members"
54,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"769,941 members"
55,Made in Abyss: Retsujitsu no Ougonkyou,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"347,907 members"
56,One Piece,https://myanimelist.net/anime/21/One_Piece,TV (? eps),Oct 1999 -,"2,091,743 members"
57,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,250,317 members"
58,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,160,730 members"
59,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,TV (12 eps),Apr 2022 - Jun 2022,"1,240,945 members"
60,Violet Evergarden,https://myanimelist.net/anime/33352/Violet_Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,627,122 members"
61,Mushishi,https://myanimelist.net/anime/457/Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"778,253 members"
62,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,TV (12 eps),Oct 2022 - Dec 2022,"1,119,896 members"
63,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,TV (26 eps),Jan 2009 - Jul 2009,"259,188 members"
64,Howl no Ugoku Shiro,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,213,570 members"
65,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,143,943 members"
66,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,TV (13 eps),Jan 2012 - Mar 2012,"231,920 members"
67,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,058,841 members"
68,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,TV (25 eps),Oct 2015 - Mar 2016,"1,326,891 members"
69,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,210,687 members"
70,Kimetsu no Yaiba Movie: Mugen Ressha-hen,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,320,483 members"
71,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"400,307 members"
72,Tengen Toppa Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,518,841 members"
73,Mo Dao Zu Shi: Wanjie Pian,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,ONA (12 eps),Aug 2021 - Oct 2021,"67,851 members"
74,Natsume Yuujinchou Roku,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,TV (11 eps),Apr 2017 - Jun 2017,"173,304 members"
75,Ping Pong the Animation,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,TV (11 eps),Apr 2014 - Jun 2014,"364,728 members"
76,Shingeki no Kyojin Season 3,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,TV (12 eps),Jul 2018 - Oct 2018,"2,136,104 members"
77,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"480,558 members"
78,Death Note,https://myanimelist.net/anime/1535/Death_Note,TV (37 eps),Oct 2006 - Jun 2007,"3,623,193 members"
79,Bungou Stray Dogs 4th Season,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,TV (13 eps),Jan 2023 - Mar 2023,"175,587 members"
80,Evangelion: 3.0+1.0 Thrice Upon a Time,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time,Movie (1 eps),Mar 2021 - Mar 2021,"331,461 members"
81,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Movie (1 eps),Jun 2019 - Jun 2019,"642,010 members"
82,Suzumiya Haruhi no Shoushitsu,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"580,930 members"
83,Mushishi Zoku Shou: Suzu no Shizuku,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,Movie (1 eps),May 2015 - May 2015,"120,675 members"
84,Hajime no Ippo: Rising,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,TV (25 eps),Oct 2013 - Mar 2014,"233,025 members"
85,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,TV (39 eps),Oct 2018 - Jul 2019,"923,752 members"
86,Kizumonogatari II: Nekketsu-hen,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"415,621 members"
87,Natsume Yuujinchou San,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,TV (13 eps),Jul 2011 - Sep 2011,"238,920 members"
88,Ookami Kodomo no Ame to Yuki,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"769,036 members"
89,Natsume Yuujinchou Go,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,TV (11 eps),Oct 2016 - Dec 2016,"172,594 members"
90,Shouwa Genroku Rakugo Shinjuu,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"276,829 members"
91,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"203,218 members"
92,Yojouhan Shinwa Taikei,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,TV (11 eps),Apr 2010 - Jul 2010,"418,581 members"
93,Ousama Ranking,https://myanimelist.net/anime/40834/Ousama_Ranking,TV (23 eps),Oct 2021 - Mar 2022,"533,797 members"
94,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,TV (12 eps),Apr 2012 - Jun 2012,"1,054,716 members"
95,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,TV (25 eps),Apr 2020 - Sep 2020,"450,040 members"
96,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie,Movie (1 eps),Jun 2022 - Jun 2022,"48,721 members"
97,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"859,412 members"
98,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,TV (12 eps),Oct 2020 - Dec 2020,"728,015 members"
99,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,TV (25 eps),Oct 1997 - Apr 1998,"587,082 members"
100,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"235,680 members"
