,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,"['Genres: Action, Avant Garde, Horror, Supernatural']",[],"['Licensors: None found, add some']","['Favorites: 22,463']",['Popularity: #129'],"['Score: 7.761 (scored by 639,205 users)']"
1,"['Genres: Adventure, Drama, Fantasy']",[],['Licensors: Funimation'],['Favorites: 158'],['Popularity: #1840'],"['Score: 7.761 (scored by 66,511 users)']"
2,"['Genres: Drama, Sci-Fi']",['Broadcast: Tuesdays at 21:00 (JST)'],['Licensors: Funimation'],['Favorites: 518'],['Popularity: #2153'],"['Score: 7.761 (scored by 32,436 users)']"
3,"['Genres: Comedy, Fantasy']",['Broadcast: Thursdays at 22:00 (JST)'],['Licensors: Funimation'],"['Favorites: 10,873']",['Popularity: #67'],"['Score: 7.761 (scored by 905,760 users)']"
4,"['Genres: Comedy, Slice of Life']",[],['Licensors: Sentai Filmworks'],['Favorites: 12'],['Popularity: #5119'],"['Score: 7.761 (scored by 6,719 users)']"
5,"['Genres: Award Winning, Mystery, Romance, Sci-Fi, Suspense']",['Broadcast: Fridays at 00:45 (JST)'],['Licensors: Funimation'],"['Favorites: 4,138']",['Popularity: #357'],"['Score: 7.761 (scored by 248,371 users)']"
6,"['Genres: Action, Comedy, Fantasy, Ecchi']",[],['Licensors: Funimation'],"['Favorites: 1,784']",['Popularity: #1116'],"['Score: 7.761 (scored by 80,212 users)']"
7,[],['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Funimation'],['Favorites: 478'],['Popularity: #2231'],"['Score: 7.761 (scored by 23,852 users)']"
8,"['Genres: Action, Drama, Sci-Fi']",['Broadcast: Saturdays at 17:30 (JST)'],"['Licensors: Nozomi Entertainment, Bandai Entertainment']","['Favorites: 2,058']",['Popularity: #1601'],"['Score: 7.761 (scored by 55,293 users)']"
9,[],[],"['Licensors: None found, add some']",['Favorites: 33'],['Popularity: #3249'],"['Score: 7.771 (scored by 15,933 users)']"
10,[],['Broadcast: Thursdays at 00:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 145'],['Popularity: #3676'],"['Score: 7.761 (scored by 2,440 users)']"
11,"['Genres: Slice of Life, Supernatural']",['Broadcast: Sundays at 01:55 (JST)'],['Licensors: Discotek Media'],['Favorites: 632'],['Popularity: #1559'],"['Score: 7.751 (scored by 50,620 users)']"
12,"['Genres: Comedy, Sports']",[],"['Licensors: None found, add some']",['Favorites: 42'],['Popularity: #3594'],"['Score: 7.751 (scored by 14,479 users)']"
