,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
193,"['Genres: Action, Adventure, Fantasy']",[],['Licensors: Manga Entertainment'],['Favorites: 28'],['Popularity: #4980'],"['Score: 6.861 (scored by 6,914 users)']"
194,"['Genres: Adventure, Sci-Fi']",[],['Licensors: Discotek Media'],['Favorites: 21'],['Popularity: #4822'],"['Score: 6.861 (scored by 9,466 users)']"
195,"['Genres: Action, Adventure, Sci-Fi']",['Broadcast: Saturdays at 17:30 (JST)'],"['Licensors: ADV Films, Sentai Filmworks']",['Favorites: 55'],['Popularity: #4083'],"['Score: 6.861 (scored by 7,706 users)']"
196,"['Genres: Comedy, Slice of Life']",[],['Licensors: Discotek Media'],['Favorites: 7'],['Popularity: #5829'],"['Score: 6.861 (scored by 4,033 users)']"
197,"['Genres: Action, Adventure, Fantasy']",[],['Licensors: GKIDS'],['Favorites: 32'],['Popularity: #4051'],"['Score: 6.861 (scored by 3,188 users)']"
198,"['Genres: Fantasy, Slice of Life']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 4'],['Popularity: #10793'],['Score: 6.861 (scored by 576 users)']
199,[],[],['Licensors: Funimation'],['Favorites: 255'],['Popularity: #2166'],"['Score: 6.861 (scored by 27,263 users)']"
200,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #7460'],"['Score: 6.861 (scored by 1,471 users)']"
201,"['Genres: Adventure, Comedy, Sci-Fi']",[],['Licensors: ADV Films'],['Favorites: 198'],['Popularity: #4652'],"['Score: 6.871 (scored by 11,883 users)']"
202,[],[],"['Licensors: None found, add some']",['Favorites: 10'],['Popularity: #11219'],['Score: 6.851 (scored by 491 users)']
203,"['Genres: Boys Love, Comedy, Drama']",['Broadcast: Wednesdays at 23:30 (JST)'],"['Licensors: Funimation, Crunchyroll']","['Favorites: 1,062']",['Popularity: #1464'],"['Score: 6.861 (scored by 74,083 users)']"
204,[],['Broadcast: Unknown'],['Licensors: Bandai Entertainment'],['Favorites: 25'],['Popularity: #4845'],"['Score: 6.861 (scored by 4,470 users)']"
