,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
0,"['Genres: Action, Adventure, Drama, Fantasy']",['Broadcast: Sundays at 17:00 (JST)'],"['Licensors: Funimation, Aniplex of America']","['Favorites: 213,309']",['Popularity: #3'],"['Score: 9.111 (scored by 1,963,910 users)']"
1,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Tuesdays at 00:00 (JST)'],['Licensors: VIZ Media'],"['Favorites: 15,729']",['Popularity: #526'],"['Score: 9.101 (scored by 170,485 users)']"
2,"['Genres: Drama, Sci-Fi, Suspense']",['Broadcast: Wednesdays at 02:05 (JST)'],['Licensors: Funimation'],"['Favorites: 179,519']",['Popularity: #13'],"['Score: 9.081 (scored by 1,304,594 users)']"
3,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Wednesdays at 18:00 (JST)'],"['Licensors: Funimation, Crunchyroll']","['Favorites: 15,534']",['Popularity: #337'],"['Score: 9.071 (scored by 231,368 users)']"
4,"['Genres: Comedy, Romance']",['Broadcast: Saturdays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 27,176']",['Popularity: #226'],"['Score: 9.071 (scored by 404,798 users)']"
5,"['Genres: Action, Drama']",['Broadcast: Mondays at 00:10 (JST)'],['Licensors: Funimation'],"['Favorites: 53,991']",['Popularity: #27'],"['Score: 9.061 (scored by 1,417,541 users)']"
6,"['Genres: Action, Comedy, Drama, Sci-Fi']",[],['Licensors: Eleven Arts'],"['Favorites: 3,954']",['Popularity: #1592'],"['Score: 9.051 (scored by 59,409 users)']"
7,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 18:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 7,548']",['Popularity: #384'],"['Score: 9.041 (scored by 220,569 users)']"
8,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 10:55 (JST)'],['Licensors: VIZ Media'],"['Favorites: 195,375']",['Popularity: #10'],"['Score: 9.041 (scored by 1,600,843 users)']"
9,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Thursdays at 18:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,926']",['Popularity: #712'],"['Score: 9.031 (scored by 154,043 users)']"
10,"['Genres: Drama, Sci-Fi']",[],['Licensors: Sentai Filmworks'],"['Favorites: 15,359']",['Popularity: #723'],"['Score: 9.021 (scored by 74,000 users)']"
11,"['Genres: Drama, Romance, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],['Licensors: Funimation'],"['Favorites: 18,215']",['Popularity: #497'],"['Score: 9.011 (scored by 198,206 users)']"
12,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,607']",['Popularity: #745'],"['Score: 8.991 (scored by 134,591 users)']"
13,"['Genres: Comedy, Drama, Romance']",[],"['Licensors: None found, add some']",['Favorites: 386'],['Popularity: #2041'],"['Score: 8.971 (scored by 6,076 users)']"
14,"['Genres: Drama, Slice of Life']",['Broadcast: Saturdays at 23:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 14,676']",['Popularity: #549'],"['Score: 8.941 (scored by 186,460 users)']"
15,[],['Broadcast: Sundays at 00:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 15,262']",['Popularity: #664'],"['Score: 8.941 (scored by 172,453 users)']"
16,"['Genres: Drama, Romance, Supernatural']",['Broadcast: Fridays at 01:59 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 68,231']",['Popularity: #109'],"['Score: 8.941 (scored by 629,932 users)']"
17,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Thursdays at 18:00 (JST)'],"['Licensors: Sentai Filmworks, Crunchyroll']","['Favorites: 56,811']",['Popularity: #138'],"['Score: 8.941 (scored by 373,845 users)']"
18,"['Genres: Award Winning, Drama']",[],"['Licensors: Eleven Arts, NYAV Post']","['Favorites: 81,334']",['Popularity: #19'],"['Score: 8.941 (scored by 1,477,115 users)']"
19,"['Genres: Action, Comedy, Sci-Fi']",[],"['Licensors: None found, add some']","['Favorites: 2,068']",['Popularity: #956'],"['Score: 8.921 (scored by 127,092 users)']"
20,"['Genres: Action, Award Winning, Drama, Sci-Fi']",['Broadcast: Sundays at 17:00 (JST)'],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 73,517']",['Popularity: #47'],"['Score: 8.911 (scored by 1,121,300 users)']"
21,"['Genres: Award Winning, Drama, Fantasy']",[],['Licensors: Funimation'],"['Favorites: 7,825']",['Popularity: #381'],"['Score: 8.911 (scored by 221,179 users)']"
22,"['Genres: Comedy, Mystery, Supernatural']",['Broadcast: Not scheduled once per week'],['Licensors: Aniplex of America'],"['Favorites: 8,327']",['Popularity: #553'],"['Score: 8.891 (scored by 178,892 users)']"
23,"['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,005']",['Popularity: #1183'],"['Score: 8.881 (scored by 86,535 users)']"
24,"['Genres: Drama, Mystery, Suspense']",['Broadcast: Wednesdays at 00:40 (JST)'],['Licensors: VIZ Media'],"['Favorites: 44,233']",['Popularity: #149'],"['Score: 8.861 (scored by 343,426 users)']"
