,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
35,"['Genres: Comedy, Fantasy, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 359'],['Popularity: #2820'],"['Score: 7.211 (scored by 21,622 users)']"
36,[],[],['Licensors: Aniplex of America'],['Favorites: 295'],['Popularity: #1714'],"['Score: 7.211 (scored by 58,568 users)']"
37,[],[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #9657'],['Score: 7.211 (scored by 928 users)']
38,[],[],"['Licensors: None found, add some']",['Favorites: 18'],['Popularity: #7911'],"['Score: 7.211 (scored by 1,620 users)']"
39,[],[],"['Licensors: None found, add some']",['Favorites: 8'],['Popularity: #8834'],"['Score: 7.211 (scored by 1,403 users)']"
40,"['Genres: Comedy, Gourmet, Supernatural']",['Broadcast: Fridays at 00:45 (JST)'],"['Licensors: None found, add some']",['Favorites: 17'],['Popularity: #4084'],"['Score: 7.211 (scored by 12,557 users)']"
41,[],[],"['Licensors: None found, add some']",['Favorites: 7'],['Popularity: #9396'],"['Score: 7.221 (scored by 1,396 users)']"
42,"['Genres: Comedy, Romance']",['Broadcast: Unknown'],['Licensors: Discotek Media'],['Favorites: 436'],['Popularity: #1528'],"['Score: 7.211 (scored by 66,380 users)']"
43,"['Genres: Drama, Fantasy']",['Broadcast: Fridays at 18:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 23'],['Popularity: #8310'],"['Score: 7.211 (scored by 1,012 users)']"
44,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 18'],['Popularity: #2360'],"['Score: 7.211 (scored by 37,463 users)']"
45,"['Genres: Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 22'],['Popularity: #3613'],"['Score: 7.211 (scored by 15,795 users)']"
46,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 24'],['Popularity: #3432'],"['Score: 7.211 (scored by 17,710 users)']"
