,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
294,Hokuto no Ken,TV (109 eps),Oct 1984 - Mar 1987,"123,665 members","['Genres: Action, Drama, Sci-Fi']",['Broadcast: Thursdays at 19:00 (JST)'],"['Licensors: Discotek Media, Manga Entertainment']","['Favorites: 2,168']",['Popularity: #1598'],"['Score: 7.961 (scored by 42,206 users)']",https://myanimelist.net/anime/967/Hokuto_no_Ken
295,Kanon (2006),TV (24 eps),Oct 2006 - Mar 2007,"261,995 members","['Genres: Drama, Romance, Supernatural']",['Broadcast: Fridays at 01:00 (JST)'],"['Licensors: ADV Films, Funimation']","['Favorites: 4,325']",['Popularity: #823'],"['Score: 7.961 (scored by 132,884 users)']",https://myanimelist.net/anime/1530/Kanon_2006
296,Noragami,TV (12 eps),Jan 2014 - Mar 2014,"2,036,761 members","['Genres: Action, Fantasy']",['Broadcast: Sundays at 23:30 (JST)'],['Licensors: Funimation'],"['Favorites: 32,186']",['Popularity: #25'],"['Score: 7.961 (scored by 1,203,642 users)']",https://myanimelist.net/anime/20507/Noragami
297,Kobato.,TV (24 eps),Oct 2009 - Mar 2010,"160,622 members","['Genres: Comedy, Drama, Fantasy, Romance']",['Broadcast: Unknown'],['Licensors: Sentai Filmworks'],"['Favorites: 1,461']",['Popularity: #1321'],"['Score: 7.951 (scored by 59,730 users)']",https://myanimelist.net/anime/5678/Kobato
298,Mawaru Penguindrum,TV (24 eps),Jul 2011 - Dec 2011,"288,104 members","['Genres: Avant Garde, Comedy, Drama, Mystery']",['Broadcast: Fridays at 02:10 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 7,146']",['Popularity: #749'],"['Score: 7.951 (scored by 104,542 users)']",https://myanimelist.net/anime/10721/Mawaru_Penguindrum
299,Nurarihyon no Mago: Sennen Makyou,TV (24 eps),Jul 2011 - Dec 2011,"156,894 members","['Genres: Action, Supernatural']",['Broadcast: Sundays at 17:30 (JST)'],['Licensors: VIZ Media'],['Favorites: 625'],['Popularity: #1341'],"['Score: 7.951 (scored by 80,984 users)']",https://myanimelist.net/anime/10049/Nurarihyon_no_Mago__Sennen_Makyou
300,Phantom: Requiem for the Phantom,TV (26 eps),Apr 2009 - Sep 2009,"321,490 members","['Genres: Action, Drama, Suspense']",['Broadcast: Fridays at 02:15 (JST)'],['Licensors: Funimation'],"['Favorites: 4,407']",['Popularity: #655'],"['Score: 7.951 (scored by 122,057 users)']",https://myanimelist.net/anime/5682/Phantom__Requiem_for_the_Phantom
301,Bishoujo Senshi Sailor Moon: Sailor Stars,TV (34 eps),Mar 1996 - Feb 1997,"106,779 members","['Genres: Adventure, Comedy, Drama, Fantasy, Romance']",['Broadcast: Unknown'],['Licensors: VIZ Media'],"['Favorites: 1,162']",['Popularity: #1802'],"['Score: 7.941 (scored by 53,824 users)']",https://myanimelist.net/anime/996/Bishoujo_Senshi_Sailor_Moon__Sailor_Stars
302,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV (21 eps),Oct 2019 - Mar 2020,"256,564 members","['Genres: Action, Fantasy, Supernatural']",['Broadcast: Saturdays at 23:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 2,409']",['Popularity: #836'],"['Score: 7.941 (scored by 120,348 users)']",https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia
303,Full Moon wo Sagashite,TV (52 eps),Apr 2002 - Mar 2003,"104,800 members","['Genres: Comedy, Drama, Romance, Supernatural']",['Broadcast: Saturdays at 07:30 (JST)'],['Licensors: VIZ Media'],"['Favorites: 1,761']",['Popularity: #1821'],"['Score: 7.941 (scored by 46,288 users)']",https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite
304,Takarajima,TV (26 eps),Oct 1978 - Apr 1979,"18,765 members","['Genres: Adventure, Drama, Mystery']",['Broadcast: Sundays at Unknown'],['Licensors: Discotek Media'],['Favorites: 257'],['Popularity: #4595'],"['Score: 7.941 (scored by 6,403 users)']",https://myanimelist.net/anime/2618/Takarajima
305,Log Horizon,TV (25 eps),Oct 2013 - Mar 2014,"1,063,019 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Saturdays at 17:30 (JST)'],"['Licensors: Funimation, Sentai Filmworks']","['Favorites: 10,069']",['Popularity: #124'],"['Score: 7.931 (scored by 553,869 users)']",https://myanimelist.net/anime/17265/Log_Horizon
306,Nekomonogatari: Kuro,TV (4 eps),Dec 2012 - Dec 2012,"527,378 members","['Genres: Comedy, Romance, Supernatural, Ecchi']",['Broadcast: Mondays at 22:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 1,195']",['Popularity: #369'],"['Score: 7.931 (scored by 323,585 users)']",https://myanimelist.net/anime/15689/Nekomonogatari__Kuro
307,Hanamonogatari,TV (5 eps),Aug 2014 - Aug 2014,"407,960 members","['Genres: Comedy, Mystery, Supernatural']",['Broadcast: Saturdays at 19:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 1,066']",['Popularity: #496'],"['Score: 7.931 (scored by 228,962 users)']",https://myanimelist.net/anime/21855/Hanamonogatari
308,Kimi to Boku. 2,TV (13 eps),Apr 2012 - Jun 2012,"85,196 members","['Genres: Comedy, Drama, Romance, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 368'],['Popularity: #2086'],"['Score: 7.931 (scored by 40,588 users)']",https://myanimelist.net/anime/11739/Kimi_to_Boku_2
309,Yakitate!! Japan,TV (69 eps),Oct 2004 - Mar 2006,"94,086 members","['Genres: Comedy, Gourmet']",['Broadcast: Unknown'],['Licensors: Nozomi Entertainment'],['Favorites: 889'],['Popularity: #1951'],"['Score: 7.921 (scored by 40,029 users)']",https://myanimelist.net/anime/28/Yakitate_Japan
310,Yuru Yuri San☆Hai!,TV (12 eps),Oct 2015 - Dec 2015,"118,842 members","['Genres: Comedy, Girls Love']",['Broadcast: Tuesdays at 02:05 (JST)'],"['Licensors: None found, add some']",['Favorites: 680'],['Popularity: #1649'],"['Score: 7.921 (scored by 62,759 users)']",https://myanimelist.net/anime/30279/Yuru_Yuri_San%E2%98%86Hai
311,Zetsuen no Tempest,TV (24 eps),Oct 2012 - Mar 2013,"571,978 members","['Genres: Action, Drama, Fantasy, Mystery']",['Broadcast: Fridays at 02:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 6,441']",['Popularity: #339'],"['Score: 7.921 (scored by 253,038 users)']",https://myanimelist.net/anime/14075/Zetsuen_no_Tempest
312,Kono Oto Tomare!,TV (13 eps),Apr 2019 - Jun 2019,"271,903 members","['Genres: Drama, Romance']",['Broadcast: Sundays at 01:00 (JST)'],['Licensors: Funimation'],"['Favorites: 2,177']",['Popularity: #797'],"['Score: 7.921 (scored by 107,153 users)']",https://myanimelist.net/anime/38080/Kono_Oto_Tomare
313,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,TV (12 eps),Jan 2023 - Mar 2023,"146,082 members","['Genres: Comedy, Romance']",['Broadcast: Saturdays at 22:30 (JST)'],"['Licensors: Crunchyroll, MediaLink Entertainment Limited']","['Favorites: 1,433']",['Popularity: #1408'],"['Score: 7.921 (scored by 22,982 users)']",https://myanimelist.net/anime/50739/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken
314,Overlord,TV (13 eps),Jul 2015 - Sep 2015,"1,471,190 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Tuesdays at 23:00 (JST)'],['Licensors: Funimation'],"['Favorites: 24,515']",['Popularity: #68'],"['Score: 7.921 (scored by 877,426 users)']",https://myanimelist.net/anime/29803/Overlord
315,Overlord III,TV (13 eps),Jul 2018 - Oct 2018,"828,017 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Tuesdays at 22:00 (JST)'],['Licensors: Funimation'],"['Favorites: 5,196']",['Popularity: #187'],"['Score: 7.921 (scored by 513,908 users)']",https://myanimelist.net/anime/37675/Overlord_III
316,City Hunter,TV (51 eps),Apr 1987 - Mar 1988,"74,430 members","['Genres: Action, Comedy, Mystery']",['Broadcast: Mondays at 19:00 (JST)'],"['Licensors: ADV Films, Discotek Media']",['Favorites: 950'],['Popularity: #2261'],"['Score: 7.921 (scored by 22,328 users)']",https://myanimelist.net/anime/1470/City_Hunter
317,Kaleido Star,TV (51 eps),Apr 2003 - Mar 2004,"81,566 members","['Genres: Comedy, Drama, Fantasy']",['Broadcast: Saturdays at 09:30 (JST)'],"['Licensors: ADV Films, Funimation']","['Favorites: 1,255']",['Popularity: #2127'],"['Score: 7.911 (scored by 34,240 users)']",https://myanimelist.net/anime/427/Kaleido_Star
318,Macross,TV (36 eps),Oct 1982 - Jun 1983,"102,601 members","['Genres: Action, Romance, Sci-Fi']",['Broadcast: Sundays at 14:00 (JST)'],"['Licensors: ADV Films, AnimEigo']","['Favorites: 1,662']",['Popularity: #1842'],"['Score: 7.901 (scored by 34,761 users)']",https://myanimelist.net/anime/1088/Macross
319,Ore Monogatari!!,TV (24 eps),Apr 2015 - Sep 2015,"630,034 members","['Genres: Comedy, Romance']",['Broadcast: Thursdays at 01:29 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 4,800']",['Popularity: #293'],"['Score: 7.911 (scored by 302,800 users)']",https://myanimelist.net/anime/28297/Ore_Monogatari
320,Plastic Memories,TV (13 eps),Apr 2015 - Jun 2015,"884,129 members","['Genres: Drama, Romance, Sci-Fi']",['Broadcast: Sundays at 00:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 11,294']",['Popularity: #165'],"['Score: 7.911 (scored by 444,470 users)']",https://myanimelist.net/anime/27775/Plastic_Memories
321,Lupin III (2015),TV (24 eps),Oct 2015 - Mar 2016,"67,082 members","['Genres: Action, Adventure, Comedy, Mystery']",['Broadcast: Fridays at 01:29 (JST)'],['Licensors: Discotek Media'],['Favorites: 432'],['Popularity: #2410'],"['Score: 7.901 (scored by 21,324 users)']",https://myanimelist.net/anime/27947/Lupin_III_2015
322,Shirokuma Cafe,TV (50 eps),Apr 2012 - Mar 2013,"90,099 members","['Genres: Comedy, Slice of Life']",['Broadcast: Thursdays at 17:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 909'],['Popularity: #2006'],"['Score: 7.901 (scored by 22,410 users)']",https://myanimelist.net/anime/12815/Shirokuma_Cafe
323,Tonikaku Kawaii,TV (12 eps),Oct 2020 - Dec 2020,"656,012 members","['Genres: Comedy, Romance']",['Broadcast: Saturdays at 01:05 (JST)'],['Licensors: Crunchyroll'],"['Favorites: 9,517']",['Popularity: #277'],"['Score: 7.901 (scored by 369,281 users)']",https://myanimelist.net/anime/41389/Tonikaku_Kawaii
324,Bleach,TV (366 eps),Oct 2004 - Mar 2012,"1,805,812 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Tuesdays at 18:00 (JST)'],['Licensors: VIZ Media'],"['Favorites: 66,713']",['Popularity: #40'],"['Score: 7.901 (scored by 1,039,904 users)']",https://myanimelist.net/anime/269/Bleach
325,Drifters,TV (12 eps),Oct 2016 - Dec 2016,"530,627 members","['Genres: Action, Adventure, Comedy, Fantasy']",['Broadcast: Fridays at 23:00 (JST)'],['Licensors: Funimation'],"['Favorites: 3,798']",['Popularity: #366'],"['Score: 7.901 (scored by 257,041 users)']",https://myanimelist.net/anime/31339/Drifters
326,Ergo Proxy,TV (23 eps),Feb 2006 - Aug 2006,"606,218 members","['Genres: Mystery, Sci-Fi']",['Broadcast: Saturdays at 19:00 (JST)'],"['Licensors: Funimation, Geneon Entertainment USA']","['Favorites: 12,693']",['Popularity: #315'],"['Score: 7.901 (scored by 226,234 users)']",https://myanimelist.net/anime/790/Ergo_Proxy
327,Ginga Sengoku Gunyuuden Rai,TV (52 eps),Apr 1994 - Mar 1995,"14,659 members","['Genres: Adventure, Romance, Sci-Fi']",['Broadcast: Fridays at 18:30 (JST)'],['Licensors: Enoki Films'],['Favorites: 80'],['Popularity: #5051'],"['Score: 7.901 (scored by 4,873 users)']",https://myanimelist.net/anime/3907/Ginga_Sengoku_Gunyuuden_Rai
328,Hidamari Sketch x ☆☆☆,TV (12 eps),Jan 2010 - Mar 2010,"26,451 members","['Genres: Comedy, Slice of Life']",['Broadcast: Fridays at 01:29 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 150'],['Popularity: #3929'],"['Score: 7.901 (scored by 12,456 users)']",https://myanimelist.net/anime/7062/Hidamari_Sketch_x_%E2%98%86%E2%98%86%E2%98%86
329,Ie Naki Ko Remy,TV (23 eps),Sep 1996 - Mar 1997,"19,486 members","['Genres: Adventure, Drama, Slice of Life']",['Broadcast: Sundays at 19:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 109'],['Popularity: #4525'],"['Score: 7.901 (scored by 8,325 users)']",https://myanimelist.net/anime/2829/Ie_Naki_Ko_Remy
330,JoJo no Kimyou na Bouken (TV),TV (26 eps),Oct 2012 - Apr 2013,"1,525,454 members","['Genres: Action, Adventure, Supernatural']",['Broadcast: Saturdays at 00:30 (JST)'],"['Licensors: VIZ Media, Warner Bros. Pictures']","['Favorites: 35,113']",['Popularity: #63'],"['Score: 7.901 (scored by 983,336 users)']",https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
331,Jormungand: Perfect Order,TV (12 eps),Oct 2012 - Dec 2012,"181,403 members","['Genres: Action, Adventure']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 699'],['Popularity: #1170'],"['Score: 7.901 (scored by 99,377 users)']",https://myanimelist.net/anime/13331/Jormungand__Perfect_Order
332,Ushio to Tora (TV) 2nd Season,TV (13 eps),Apr 2016 - Jun 2016,"126,704 members","['Genres: Action, Adventure, Comedy, Supernatural']",['Broadcast: Fridays at 22:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 307'],['Popularity: #1561'],"['Score: 7.901 (scored by 63,459 users)']",https://myanimelist.net/anime/31098/Ushio_to_Tora_TV_2nd_Season
333,Yagate Kimi ni Naru,TV (13 eps),Oct 2018 - Dec 2018,"310,795 members","['Genres: Drama, Girls Love, Romance']",['Broadcast: Fridays at 21:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 5,765']",['Popularity: #691'],"['Score: 7.901 (scored by 128,728 users)']",https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru
334,Yuri!!! on Ice,TV (12 eps),Oct 2016 - Dec 2016,"831,928 members","['Genres: Award Winning, Sports']",['Broadcast: Thursdays at 02:21 (JST)'],"['Licensors: Funimation, Crunchyroll']","['Favorites: 19,899']",['Popularity: #186'],"['Score: 7.901 (scored by 500,910 users)']",https://myanimelist.net/anime/32995/Yuri_on_Ice
335,Macross F,TV (25 eps),Apr 2008 - Sep 2008,"142,147 members","['Genres: Action, Award Winning, Romance, Sci-Fi']",['Broadcast: Fridays at 01:25 (JST)'],['Licensors: Nozomi Entertainment'],"['Favorites: 1,839']",['Popularity: #1437'],"['Score: 7.891 (scored by 65,381 users)']",https://myanimelist.net/anime/3572/Macross_F
336,Saiunkoku Monogatari,TV (39 eps),Apr 2006 - Feb 2007,"91,811 members","['Genres: Adventure, Fantasy, Romance']",['Broadcast: Unknown'],"['Licensors: Funimation, Geneon Entertainment USA']","['Favorites: 1,104']",['Popularity: #1982'],"['Score: 7.891 (scored by 34,140 users)']",https://myanimelist.net/anime/957/Saiunkoku_Monogatari
337,School Rumble,TV (26 eps),Oct 2004 - Mar 2005,"316,300 members","['Genres: Comedy, Romance']",['Broadcast: Tuesdays at 18:00 (JST)'],['Licensors: Funimation'],"['Favorites: 5,100']",['Popularity: #672'],"['Score: 7.891 (scored by 145,049 users)']",https://myanimelist.net/anime/24/School_Rumble
338,ef: A Tale of Memories.,TV (12 eps),Oct 2007 - Dec 2007,"247,670 members","['Genres: Drama, Mystery, Romance']",['Broadcast: Sundays at 01:35 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 2,742']",['Popularity: #872'],"['Score: 7.891 (scored by 105,271 users)']",https://myanimelist.net/anime/2924/ef__A_Tale_of_Memories
339,Higurashi no Naku Koro ni,TV (26 eps),Apr 2006 - Sep 2006,"767,763 members","['Genres: Horror, Mystery, Supernatural, Suspense']",['Broadcast: Wednesdays at 01:30 (JST)'],"['Licensors: Sentai Filmworks, Geneon Entertainment USA']","['Favorites: 20,466']",['Popularity: #220'],"['Score: 7.891 (scored by 377,430 users)']",https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni
340,Jigoku Shoujo Futakomori,TV (26 eps),Oct 2006 - Apr 2007,"155,366 members","['Genres: Horror, Mystery, Supernatural']",['Broadcast: Saturdays at 19:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 684'],['Popularity: #1352'],"['Score: 7.891 (scored by 65,771 users)']",https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori
341,Kidou Senshi Zeta Gundam,TV (50 eps),Mar 1985 - Feb 1986,"68,347 members","['Genres: Drama, Romance, Sci-Fi']",['Broadcast: Unknown'],"['Licensors: Nozomi Entertainment, Bandai Entertainment']","['Favorites: 2,051']",['Popularity: #2378'],"['Score: 7.891 (scored by 34,579 users)']",https://myanimelist.net/anime/85/Kidou_Senshi_Zeta_Gundam
342,Bishoujo Senshi Sailor Moon S,TV (38 eps),Mar 1994 - Feb 1995,"138,585 members","['Genres: Fantasy, Romance']",['Broadcast: Unknown'],"['Licensors: VIZ Media, Geneon Entertainment USA']","['Favorites: 1,373']",['Popularity: #1460'],"['Score: 7.881 (scored by 74,109 users)']",https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
343,Carole & Tuesday,TV (24 eps),Apr 2019 - Oct 2019,"308,359 members","['Genres: Drama, Sci-Fi']",['Broadcast: Thursdays at 00:55 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 2,839']",['Popularity: #696'],"['Score: 7.881 (scored by 135,048 users)']",https://myanimelist.net/anime/37435/Carole___Tuesday
344,Hoozuki no Reitetsu 2nd Season,TV (13 eps),Oct 2017 - Dec 2017,"44,670 members","['Genres: Comedy, Fantasy, Supernatural']",['Broadcast: Sundays at 01:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 102'],['Popularity: #3008'],"['Score: 7.881 (scored by 17,857 users)']",https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
345,Kami nomi zo Shiru Sekai II,TV (12 eps),Apr 2011 - Jun 2011,"375,869 members","['Genres: Comedy, Romance, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 979'],['Popularity: #541'],"['Score: 7.881 (scored by 232,417 users)']",https://myanimelist.net/anime/10080/Kami_nomi_zo_Shiru_Sekai_II
346,Megalo Box,TV (13 eps),Apr 2018 - Jun 2018,"479,794 members","['Genres: Sci-Fi, Sports']",['Broadcast: Fridays at 01:28 (JST)'],['Licensors: VIZ Media'],"['Favorites: 3,349']",['Popularity: #409'],"['Score: 7.881 (scored by 255,988 users)']",https://myanimelist.net/anime/36563/Megalo_Box
347,Space☆Dandy,TV (13 eps),Jan 2014 - Mar 2014,"333,835 members","['Genres: Comedy, Sci-Fi']",['Broadcast: Unknown'],['Licensors: Funimation'],"['Favorites: 5,137']",['Popularity: #634'],"['Score: 7.881 (scored by 144,544 users)']",https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
348,Terra e... (TV),TV (24 eps),Apr 2007 - Sep 2007,"59,688 members","['Genres: Action, Drama, Sci-Fi']",['Broadcast: Saturdays at 18:00 (JST)'],['Licensors: Bandai Entertainment'],['Favorites: 843'],['Popularity: #2578'],"['Score: 7.881 (scored by 18,176 users)']",https://myanimelist.net/anime/2158/Terra_e_TV
349,Machikado Mazoku: 2-choume,TV (12 eps),Apr 2022 - Jul 2022,"58,941 members","['Genres: Comedy, Fantasy']",['Broadcast: Fridays at 01:28 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 305'],['Popularity: #2595'],"['Score: 7.871 (scored by 19,001 users)']",https://myanimelist.net/anime/42745/Machikado_Mazoku__2-choume
350,Golden Kamuy,TV (12 eps),Apr 2018 - Jun 2018,"346,743 members","['Genres: Action, Adventure']",['Broadcast: Mondays at 23:00 (JST)'],['Licensors: Funimation'],"['Favorites: 3,778']",['Popularity: #605'],"['Score: 7.871 (scored by 144,995 users)']",https://myanimelist.net/anime/36028/Golden_Kamuy
351,Beelzebub,TV (60 eps),Jan 2011 - Mar 2012,"569,620 members","['Genres: Action, Comedy, Supernatural']",['Broadcast: Sundays at Unknown'],['Licensors: Discotek Media'],"['Favorites: 5,223']",['Popularity: #341'],"['Score: 7.861 (scored by 269,020 users)']",https://myanimelist.net/anime/9513/Beelzebub
352,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV (13 eps),Apr 2018 - Jul 2018,"27,249 members","['Genres: Comedy, Fantasy, Supernatural']",['Broadcast: Sundays at 01:00 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 51'],['Popularity: #3887'],"['Score: 7.861 (scored by 11,119 users)']",https://myanimelist.net/anime/37029/Hoozuki_no_Reitetsu_2nd_Season__Sono_Ni
353,InuYasha,TV (167 eps),Oct 2000 - Sep 2004,"749,490 members","['Genres: Action, Adventure, Fantasy, Romance']",['Broadcast: Mondays at 19:00 (JST)'],['Licensors: VIZ Media'],"['Favorites: 17,512']",['Popularity: #230'],"['Score: 7.861 (scored by 370,628 users)']",https://myanimelist.net/anime/249/InuYasha
354,Magic Kaito 1412,TV (24 eps),Oct 2014 - Mar 2015,"117,693 members","['Genres: Adventure, Comedy, Romance']",['Broadcast: Saturdays at 17:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,050']",['Popularity: #1663'],"['Score: 7.861 (scored by 54,526 users)']",https://myanimelist.net/anime/25517/Magic_Kaito_1412
355,Musekinin Kanchou Tylor,TV (26 eps),Jan 1993 - Jul 1993,"46,263 members","['Genres: Comedy, Sci-Fi']",['Broadcast: Mondays at 18:00 (JST)'],['Licensors: Nozomi Entertainment'],['Favorites: 524'],['Popularity: #2950'],"['Score: 7.861 (scored by 15,180 users)']",https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
356,Sekaiichi Hatsukoi 2,TV (12 eps),Oct 2011 - Dec 2011,"151,215 members","['Genres: Boys Love, Comedy, Drama, Romance']",['Broadcast: Unknown'],['Licensors: Funimation'],['Favorites: 716'],['Popularity: #1376'],"['Score: 7.861 (scored by 87,467 users)']",https://myanimelist.net/anime/11123/Sekaiichi_Hatsukoi_2
357,Tensei Oujo to Tensai Reijou no Mahou Kakumei,TV (12 eps),Jan 2023 -,"95,678 members","['Genres: Fantasy, Girls Love']",['Broadcast: Wednesdays at 21:00 (JST)'],"['Licensors: Crunchyroll, Muse Communication']",['Favorites: 576'],['Popularity: #1930'],"['Score: 7.851 (scored by 16,432 users)']",https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei
358,Tiger & Bunny,TV (25 eps),Apr 2011 - Sep 2011,"218,990 members","['Genres: Action, Comedy, Mystery']",['Broadcast: Sundays at 01:58 (JST)'],['Licensors: VIZ Media'],"['Favorites: 2,941']",['Popularity: #983'],"['Score: 7.861 (scored by 88,166 users)']",https://myanimelist.net/anime/9941/Tiger___Bunny
359,Beastars,TV (12 eps),Oct 2019 - Dec 2019,"786,600 members","['Genres: Drama, Slice of Life']",['Broadcast: Thursdays at 00:55 (JST)'],"['Licensors: None found, add some']","['Favorites: 9,315']",['Popularity: #202'],"['Score: 7.851 (scored by 489,998 users)']",https://myanimelist.net/anime/39195/Beastars
360,Ie Naki Ko,TV (51 eps),Oct 1977 - Oct 1978,"14,425 members","['Genres: Adventure, Drama, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 259'],['Popularity: #5083'],"['Score: 7.851 (scored by 4,550 users)']",https://myanimelist.net/anime/2828/Ie_Naki_Ko
361,Magi: Sinbad no Bouken (TV),TV (13 eps),Apr 2016 - Jul 2016,"455,719 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Saturdays at 02:25 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,513']",['Popularity: #438'],"['Score: 7.851 (scored by 246,878 users)']",https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV
362,Paradise Kiss,TV (12 eps),Oct 2005 - Dec 2005,"208,075 members","['Genres: Drama, Romance']",['Broadcast: Fridays at 00:35 (JST)'],['Licensors: Geneon Entertainment USA'],"['Favorites: 4,008']",['Popularity: #1039'],"['Score: 7.851 (scored by 91,396 users)']",https://myanimelist.net/anime/322/Paradise_Kiss
363,Michiko to Hatchin,TV (22 eps),Oct 2008 - Mar 2009,"189,497 members","['Genres: Action, Adventure']",['Broadcast: Unknown'],['Licensors: Funimation'],"['Favorites: 2,307']",['Popularity: #1124'],"['Score: 7.841 (scored by 58,375 users)']",https://myanimelist.net/anime/4087/Michiko_to_Hatchin
364,Seihou Bukyou Outlaw Star,TV (24 eps),Jan 1998 - Jun 1998,"147,796 members","['Genres: Action, Adventure, Comedy, Sci-Fi']",['Broadcast: Fridays at 01:15 (JST)'],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 2,056']",['Popularity: #1396'],"['Score: 7.841 (scored by 60,920 users)']",https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star
365,Soul Eater,TV (51 eps),Apr 2008 - Mar 2009,"1,535,897 members","['Genres: Action, Comedy, Fantasy']",['Broadcast: Mondays at 18:00 (JST)'],['Licensors: Funimation'],"['Favorites: 25,497']",['Popularity: #60'],"['Score: 7.841 (scored by 804,424 users)']",https://myanimelist.net/anime/3588/Soul_Eater
366,Uchouten Kazoku,TV (13 eps),Jul 2013 - Sep 2013,"160,736 members","['Genres: Award Winning, Comedy, Drama, Fantasy, Slice of Life']",['Broadcast: Sundays at 22:00 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,464']",['Popularity: #1319'],"['Score: 7.841 (scored by 52,294 users)']",https://myanimelist.net/anime/17909/Uchouten_Kazoku
367,Gekkan Shoujo Nozaki-kun,TV (12 eps),Jul 2014 - Sep 2014,"880,176 members","['Genres: Comedy, Romance']",['Broadcast: Mondays at 01:05 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 10,664']",['Popularity: #167'],"['Score: 7.841 (scored by 482,699 users)']",https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun
368,Heartcatch Precure!,TV (49 eps),Feb 2010 - Jan 2011,"29,655 members","['Genres: Action, Comedy, Fantasy']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 579'],['Popularity: #3723'],"['Score: 7.841 (scored by 11,016 users)']",https://myanimelist.net/anime/7645/Heartcatch_Precure
369,Id:Invaded,TV (13 eps),Jan 2020 - Mar 2020,"331,700 members","['Genres: Mystery, Sci-Fi, Suspense']",['Broadcast: Mondays at 00:30 (JST)'],['Licensors: Funimation'],"['Favorites: 2,645']",['Popularity: #636'],"['Score: 7.841 (scored by 140,234 users)']",https://myanimelist.net/anime/40046/Id_Invaded
370,Isekai Ojisan,TV (13 eps),Jul 2022 - Mar 2023,"251,533 members","['Genres: Comedy, Fantasy']",['Broadcast: Wednesdays at 22:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,311']",['Popularity: #853'],"['Score: 7.831 (scored by 61,223 users)']",https://myanimelist.net/anime/49220/Isekai_Ojisan
