,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
16,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"179,248 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,005']",['Popularity: #1183'],"['Score: 8.881 (scored by 86,535 users)']",https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
17,Monster,TV (74 eps),Apr 2004 - Sep 2005,"959,745 members","['Genres: Drama, Mystery, Suspense']",['Broadcast: Wednesdays at 00:40 (JST)'],['Licensors: VIZ Media'],"['Favorites: 44,233']",['Popularity: #149'],"['Score: 8.861 (scored by 343,426 users)']",https://myanimelist.net/anime/19/Monster
18,Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,135,588 members","['Genres: Action, Fantasy']",['Broadcast: Sundays at 23:15 (JST)'],"['Licensors: Aniplex of America, Crunchyroll']","['Favorites: 22,563']",['Popularity: #108'],"['Score: 8.821 (scored by 691,352 users)']",https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
19,Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"193,561 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,116']",['Popularity: #1105'],"['Score: 8.811 (scored by 94,718 users)']",https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
20,Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,"1,382,416 members","['Genres: Action, Comedy, Supernatural']",['Broadcast: Mondays at 23:00 (JST)'],['Licensors: Funimation'],"['Favorites: 31,220']",['Popularity: #76'],"['Score: 8.811 (scored by 869,094 users)']",https://myanimelist.net/anime/37510/Mob_Psycho_100_II
21,Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,"1,771,104 members","['Genres: Action, Drama']",['Broadcast: Mondays at 00:10 (JST)'],['Licensors: Funimation'],"['Favorites: 50,808']",['Popularity: #41'],"['Score: 8.811 (scored by 1,167,312 users)']",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
22,Vinland Saga Season 2,TV (24 eps),Jan 2023 -,"311,344 members","['Genres: Action, Adventure, Drama']",['Broadcast: Tuesdays at 00:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 3,155']",['Popularity: #688'],"['Score: 8.771 (scored by 34,860 users)']",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2
23,Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"636,594 members","['Genres: Comedy, Mystery, Romance, Supernatural']",['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 22,886']",['Popularity: #290'],"['Score: 8.771 (scored by 340,466 users)']",https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
24,Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,054,632 members","['Genres: Action, Drama']",['Broadcast: Mondays at 00:05 (JST)'],"['Licensors: None found, add some']","['Favorites: 28,382']",['Popularity: #128'],"['Score: 8.771 (scored by 568,617 users)']",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
25,Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"503,532 members","['Genres: Action, Comedy, Supernatural']",['Broadcast: Thursdays at 00:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 7,704']",['Popularity: #392'],"['Score: 8.751 (scored by 193,915 users)']",https://myanimelist.net/anime/50172/Mob_Psycho_100_III
26,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,724,945 members","['Genres: Action, Award Winning, Sci-Fi']",['Broadcast: Saturdays at 01:00 (JST)'],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 76,527']",['Popularity: #43'],"['Score: 8.751 (scored by 888,954 users)']",https://myanimelist.net/anime/1/Cowboy_Bebop
27,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"249,204 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",['Broadcast: Sundays at 00:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 1,373']",['Popularity: #863'],"['Score: 8.731 (scored by 99,128 users)']",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
28,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,273,763 members","['Genres: Action, Adventure, Drama']",['Broadcast: Mondays at 00:10 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 39,067']",['Popularity: #90'],"['Score: 8.731 (scored by 709,168 users)']",https://myanimelist.net/anime/37521/Vinland_Saga
29,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"398,025 members","['Genres: Action, Drama, Sci-Fi']",['Broadcast: Sundays at 00:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 11,855']",['Popularity: #515'],"['Score: 8.711 (scored by 212,784 users)']",https://myanimelist.net/anime/48569/86_Part_2
30,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"45,991 members","['Genres: Drama, Sports']",['Broadcast: Unknown'],"['Licensors: None found, add some']","['Favorites: 2,333']",['Popularity: #2957'],"['Score: 8.711 (scored by 17,865 users)']",https://myanimelist.net/anime/2921/Ashita_no_Joe_2
31,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"731,815 members","['Genres: Drama, Fantasy, Ecchi']",['Broadcast: Mondays at 00:00 (JST)'],['Licensors: Funimation'],"['Favorites: 16,327']",['Popularity: #235'],"['Score: 8.711 (scored by 439,267 users)']",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
32,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"282,605 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",['Broadcast: Saturdays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 1,497']",['Popularity: #761'],"['Score: 8.701 (scored by 111,703 users)']",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
33,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"367,395 members","['Genres: Award Winning, Mystery']",['Broadcast: Tuesdays at 02:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 7,347']",['Popularity: #561'],"['Score: 8.701 (scored by 180,318 users)']",https://myanimelist.net/anime/46102/Odd_Taxi
34,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,104,590 members","['Genres: Action, Award Winning, Drama, Sci-Fi']",['Broadcast: Fridays at 01:25 (JST)'],"['Licensors: Funimation, Bandai Entertainment']","['Favorites: 103,564']",['Popularity: #20'],"['Score: 8.701 (scored by 1,315,571 users)']",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
35,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"769,941 members","['Genres: Comedy, Drama']",['Broadcast: Wednesdays at 19:30 (JST)'],"['Licensors: Discotek Media, Tokyopop']","['Favorites: 24,711']",['Popularity: #217'],"['Score: 8.691 (scored by 379,654 users)']",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
36,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"347,907 members","['Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi']",['Broadcast: Wednesdays at 22:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 4,591']",['Popularity: #603'],"['Score: 8.681 (scored by 131,503 users)']",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
37,One Piece,TV (? eps),Oct 1999 -,"2,091,743 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 09:30 (JST)'],"['Licensors: Funimation, 4Kids Entertainment']","['Favorites: 189,863']",['Popularity: #21'],"['Score: 8.681 (scored by 1,179,666 users)']",https://myanimelist.net/anime/21/One_Piece
38,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,250,317 members","['Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi']",['Broadcast: Fridays at 21:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 40,685']",['Popularity: #92'],"['Score: 8.671 (scored by 674,239 users)']",https://myanimelist.net/anime/34599/Made_in_Abyss
39,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,240,945 members","['Genres: Action, Award Winning, Comedy']",['Broadcast: Saturdays at 23:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 36,794']",['Popularity: #94'],"['Score: 8.671 (scored by 738,123 users)']",https://myanimelist.net/anime/50265/Spy_x_Family
40,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,627,122 members","['Genres: Drama, Fantasy']",['Broadcast: Thursdays at 00:00 (JST)'],['Licensors: Funimation'],"['Favorites: 56,024']",['Popularity: #51'],"['Score: 8.671 (scored by 885,864 users)']",https://myanimelist.net/anime/33352/Violet_Evergarden
41,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"778,253 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",['Broadcast: Sundays at 03:40 (JST)'],['Licensors: Funimation'],"['Favorites: 25,555']",['Popularity: #208'],"['Score: 8.661 (scored by 263,724 users)']",https://myanimelist.net/anime/457/Mushishi
42,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,119,896 members","['Genres: Action, Fantasy']",['Broadcast: Wednesdays at 00:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 37,098']",['Popularity: #111'],"['Score: 8.661 (scored by 501,847 users)']",https://myanimelist.net/anime/44511/Chainsaw_Man
43,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,143,943 members","['Genres: Action, Award Winning, Fantasy']",['Broadcast: Saturdays at 01:25 (JST)'],['Licensors: VIZ Media'],"['Favorites: 78,442']",['Popularity: #17'],"['Score: 8.651 (scored by 1,387,005 users)']",https://myanimelist.net/anime/40748/Jujutsu_Kaisen
44,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"231,920 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,928']",['Popularity: #925'],"['Score: 8.651 (scored by 102,868 users)']",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
45,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,058,841 members","['Genres: Drama, Romance']",['Broadcast: Fridays at 01:20 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 82,114']",['Popularity: #23'],"['Score: 8.651 (scored by 1,258,121 users)']",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
46,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,518,841 members","['Genres: Action, Adventure, Award Winning, Sci-Fi']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: ADV Films, Bandai Entertainment, Aniplex of America']","['Favorites: 74,724']",['Popularity: #64'],"['Score: 8.631 (scored by 852,758 users)']",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
47,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"173,304 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Wednesdays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,021']",['Popularity: #1232'],"['Score: 8.621 (scored by 62,911 users)']",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
48,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"364,728 members","['Genres: Award Winning, Drama, Sports']",['Broadcast: Fridays at 00:50 (JST)'],['Licensors: Funimation'],"['Favorites: 14,808']",['Popularity: #567'],"['Score: 8.621 (scored by 170,379 users)']",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
49,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,136,104 members","['Genres: Action, Drama']",['Broadcast: Mondays at 00:35 (JST)'],['Licensors: Funimation'],"['Favorites: 19,307']",['Popularity: #18'],"['Score: 8.621 (scored by 1,452,990 users)']",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
50,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,623,193 members","['Genres: Supernatural, Suspense']",['Broadcast: Wednesdays at 00:56 (JST)'],['Licensors: VIZ Media'],"['Favorites: 164,240']",['Popularity: #2'],"['Score: 8.621 (scored by 2,557,901 users)']",https://myanimelist.net/anime/1535/Death_Note
51,Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"175,587 members","['Genres: Action, Mystery, Supernatural']",['Broadcast: Wednesdays at 23:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,658']",['Popularity: #1215'],"['Score: 8.611 (scored by 14,115 users)']",https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
52,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"923,752 members","['Genres: Action, Adventure, Supernatural']",['Broadcast: Saturdays at 01:05 (JST)'],['Licensors: VIZ Media'],"['Favorites: 29,626']",['Popularity: #154'],"['Score: 8.581 (scored by 613,859 users)']",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
